ScientificName,CommonNameEnglish,AlphaCode,CommonNameSpanish,OccurenceStatus,ForagingSubGuildEnglish,ForagingGuildEnglish,ForagingSubGuildSpanish,ForagingGuildSpanish
Tyto glaucops,Ashy-faced Owl,AFOW,Lechuza Cara Ceniza,E,Carnivore,Carnivore,Carnívoro,Carnívoro
Fulica americana,American Coot,AMCO,Gallareta Pico Blanco,R,Omnivore,Omnivore,Omnívoro,Omnívoro
Phoenicopterus ruber,American Flamingo,AMFL,Flamenco,"R, M",Filter-feeder,Filter-feeder,Filtrador,Filtrador
Falco sparverius,American Kestrel,AMKE,"Cuyaya, Cernícalo, Salnícalo","R, M",Carnivore,Carnivore,Carnívoro,Carnívoro
Setophaga ruticilla,American Redstart,AMRE,"Bijirita, Candelita",M,Invert-glean,Invertivore,Invert-busc,Invertívoro
Euphonia musica,Antillean Euphonia,ANEU,Jilgerillo,R,Frug-Invert,Frugivore,Frug-Invert,Frugívoro
Anthracothorax dominicus,Antillean Mango,ANMA,Zumbador Grande,R,Nectar-Invert,Nectarivore,Nectar-Invert,Nectarívoro
Chordeiles gundlachii,Antillean Nighthawk,ANNI,Querebebé,R,Invert-aerial,Invertivore,Invert-aerio,Invertívoro
Nesoctites micromegas,Antillean Piculet,ANPI,Carpintero de Sierra,R,Invert-glean,Invertivore,Invert-busc,Invertívoro
Tachornis phoenicobia,Antillean Palm-Swift,ANPS ,Vencejito Palmar,R,Invert-aerial,Invertivore,Invert-aerio,Invertívoro
Spinus dominicensis,Antillean Siskin,ANSI,Canario,R,Gran-Invert,Granivore,Gran-Invert,Granívoro
Coereba flaveola,Bananaquit,BANA,"Cigüita, Reinita Común",R,Nectar-Invert,Nectarivore,Nectar-Invert,Nectarívoro
Tyto alba,Barn Owl,BANO,Lechuza Común ó Blanca,R,Carnivore,Carnivore,Carnívoro,Carnívoro
Icterus galbula,Baltimore Oriole,BAOR,,,,,,
Hirundo rustica,Barn Swallow,BARS,Golondrina del Norte,M,Invert-aerial,Invertivore,Invert-aerio,Invertívoro
Mniotilta varia,Black-and-white Warbler,BAWW,Pega Palo,M,Invert-trunk,Invertivore,Invert-tronc,Invertívoro
Coccyzus erythropthalmus,Black-billed Cuckoo,BBCU,Pájaro Bobo Pico Negro,V,Invert-Carn,Invertivore,Invert-Carn,Invertívoro
Pluvialis squatarola,Black-bellied Plover,BBPL,Chorlo Gris,M,Invertivore,Invertivore,Invertívoro,Invertívoro
Coccyzus rufigularis,Bay-breasted Cuckoo,BBRC,Cúa,R,Invert-Carn,Invertivore,Invert-Carn,Invertívoro
Todus subulatus,Broad-billed Tody,BBTO,Barrancolí,E,Invert-glean,Invertivore,Invert-busc,Invertívoro
Nycticorax nycticorax,Black-crowned Night-Heron,BCNH,Yaboa,"R, M",Carn-Pisc,Carnivore,Carn-Pisc,Carnívoro
Pterodroma hasitata,Black-capped Petrel,BCPE,Dioblotín,"R, M",Piscivore,Piscivore,Piscívoro,Piscívoro
Megaceryle alcyon,Belted Kingfisher,BEKI,Martín Pescador,M,Piscivore,Piscivore,Piscívoro,Piscívoro
Tiaris bicolor,Black-faced Grassquit,BFGR,Juana Maruco,R,Herb-Invert,Herbivore,Herb-Invert,Herbívoro
Catharus bicknelli,Bicknell's Thrush,BITH,Zorzal de Bicknell,M,Omnivore,Omnivore,Omnívoro,Omnívoro
Setophaga fusca,Blackburnian Warbler,BLBW,Cigüita del Frío,M,Invert-glean,Invertivore,Invert-busc,Invertívoro
Setophaga striata,Blackpoll Warbler,BLPW,Cigüita Casco Prieto,M,Invert-glean,Invertivore,Invert-busc,Invertívoro
Cypseloides niger,Black Swift,BLSW,Vencejo Negro,"R, M",Invert-aerial,Invertivore,Invert-aerio,Invertívoro
Chlidonias niger,Black Tern,BLTE,Charrán Negro,M,Piscivore,Piscivore,Piscívoro,Piscívoro
Himantopus mexicanus,Black-necked Stilt,BNST,Viuda,R,Invert-Pisc,Invertivore,Invert-Pisc,Invertívoro
Phaenicophilus palmarum,Black-crowned Palm-Tanager,BPLT,Cuatro Ojos,E,Invert-Frug,Invertivore,Invert-Frug,Invertívoro
Anous stolidus,Brown Noddy,BRBO,Cervera,R,Piscivore,Piscivore,Piscívoro,Piscívoro
Pelecanus occidentalis,Brown Pelican,BRPE,Pelícano,"R, M",Piscivore,Piscivore,Piscívoro,Piscívoro
Onychoprion anaethetus,Bridled Tern,BRTE,Charrán Monja,R,Pisc-Invert,Piscivore,Pisc-Invert,Piscívoro
Setophaga caerulescens,Black-throated Blue Warbler,BTBW,Cigüita Azul,M,Invert-glean,Invertivore,Invert-busc,Invertívoro
Setophaga virens,Black-throated Green Warbler,BTNW,Cigüita Pechinegro,M,Invert-glean,Invertivore,Invert-busc,Invertívoro
,,,,,,,,
Athene cunicularia,Burrowing Owl,BUOW,Cu-cú,"R, M",Carnivore,Carnivore,Carnívoro,Carnívoro
Spatula discors,Blue-winged Teal,BWTE,,,,,,
Vireo altiloquus,Black-whiskered Vireo,BWVI,Julián Chiví,"R, M",Invert-glean,Invertivore,Invert-busc,Invertívoro
Fulica caribaea,Caribbean Coot,CACO,Pico Blanco Caribeña,R,Omnivore,Omnivore,Omnívoro,Omnívoro
Bubulcus ibis,Cattle Egret,CAEG,Garza Ganadera,"R, M",Invert-Carn,Invertivore,Invert-Carn,Invertívoro
Progne dominicensis,Caribbean Martin,CAMA,Golondrina Grande,R,Invert-aerial,Invertivore,Invert-aerio,Invertívoro
Petrochelidon fulva,Cave Swallow,CASW,Golondrina de Cuevas,R,Invert-aerial,Invertivore,Invert-aerio,Invertívoro
Hydroprogne caspia,Caspian Tern,CATE,Charrán Piquiroja,M,Pisc-Invert,Piscivore,Pisc-Invert,Piscívoro
Bombycilla cedrorum,Cedar Waxwing,CEDW,Cigüa Alas de Cera,M,Frug-Invert,Frugivore,Frug-Invert,Frugívoro
Setophaga tigrina,Cape May Warbler,CMWA,Cigüita Tigrina,M,Invert-glean,Invertivore,Invert-busc,Invertívoro
Nymphicus hollandicus,Cockatiel ,COCK,Cacatúa,I,Frug-Gran,Frugivore,Frug-Gran,Frugívoro
Gallinula galeata,Common Gallinule,COGA,Gallareta Pico Rojo,"R, M",Omnivore,Omnivore,Omnívoro,Omnívoro
Columbina passerina,Common Ground Dove,COGD,Rolita,R,Omnivore,Omnivore,Omnívoro,Omnívoro
