season,SppAlphaCode,detection_richness,prop_of_sites,ScientificName,CommonNameEnglish
breeding,AMKE,43,0.9295774647887324,Falco sparverius,American Kestrel
breeding,AMRE,43,0.028169014084507043,Setophaga ruticilla,American Redstart
breeding,ANPS,43,0.22535211267605634,Tachornis phoenicobia,Antillean Palm-Swift
breeding,BANA,43,0.971830985915493,Coereba flaveola,Bananaquit
breeding,BARS,43,0.014084507042253521,Hirundo rustica,Barn Swallow
breeding,BPLT,43,0.647887323943662,Phaenicophilus palmarum,Black-crowned Palm-Tanager
breeding,BRPE,43,0.028169014084507043,Pelecanus occidentalis,Brown Pelican
breeding,BUDG,43,0.07042253521126761,NA,NA
breeding,CAEG,43,0.09859154929577464,Bubulcus ibis,Cattle Egret
breeding,CAMA,43,0.11267605633802817,Progne dominicensis,Caribbean Martin
breeding,CGDO,43,0.9577464788732394,Columbina passerina,Common Ground Dove
breeding,COTE,43,0.014084507042253521,Sterna hirundo,Common Tern
breeding,EUCD,43,0.7887323943661971,Streptopelia decaocto,Eurasian Collared-Dove
breeding,GAGR,43,0.2535211267605634,Quiscalus niger,Greater Antillean Grackle
breeding,GRAK,43,0.9577464788732394,Tyrannus dominicensis,Gray Kingbird
breeding,GREG,43,0.04225352112676056,Ardea alba,Great Egret
breeding,GRHE,43,0.09859154929577464,Butorides virescens,Green Heron
breeding,HILC,43,0.2112676056338028,Coccyzus longirostris,Hispaniolan Lizard-Cuckoo
breeding,HIMA,43,0.8450704225352113,Anthracothorax dominicus,Hispaniolan Mango
breeding,HIWO,43,0.971830985915493,Melanerpes striatus,Hispaniolan Woodpecker
breeding,HOSP,43,0.971830985915493,Passer domesticus,House Sparrow
breeding,HPAK,43,0.9295774647887324,Psittacara chloropterus,Hispaniolan Parakeet
breeding,HPAT,43,0.30985915492957744,Amazona ventralis,Hispaniolan Parrot
breeding,LAGU,43,0.014084507042253521,Leucophaeus atricilla,Laughing Gull
breeding,MAFR,43,0.014084507042253521,Fregata magnificens,Magnificent Frigatebird
breeding,MODO,43,0.971830985915493,Zenaida macroura,Mourning Dove
breeding,NOMO,43,0.7746478873239436,Mimus polyglottos,Northern Mockingbird
breeding,PALM,43,0.971830985915493,Dulus dominicus,Palmchat
breeding,PETH,43,0.014084507042253521,Margarops fuscatus,Pearly-eyed Thrasher
breeding,RLTH,43,0.23943661971830985,Turdus plumbeus,Red-legged Thrush
breeding,ROPI,43,0.971830985915493,Columba livia,Rock Pigeon
breeding,SBMU,43,0.07042253521126761,Lonchura punctulata,Scaly-breasted Munia
breeding,SHCO,43,0.11267605633802817,Molothrus bonariensis,Shiny Cowbird
breeding,SNEG,43,0.014084507042253521,Egretta thula,Snowy Egret
breeding,SPSA,43,0.04225352112676056,Actitis macularius,Spotted Sandpiper
breeding,SUCO,43,0.014084507042253521,Cacatua galerita,Sulphur-crested Cockatoo
breeding,TRHE,43,0.014084507042253521,Egretta tricolor,Tricolored Heron
breeding,VEHU,43,0.7746478873239436,Mellisuga minima,Vervain Hummingbird
breeding,VIWE,43,0.5774647887323944,Ploceus cucullatus,Village Weaver
breeding,WWDO,43,0.971830985915493,Zenaida asiatica,White-winged Dove
breeding,YCNH,43,0.08450704225352113,Nyctanassa violacea,Yellow-crowned Night-Heron
breeding,YFGR,43,0.8732394366197183,Tiaris olivaceus,Yellow-faced Grassquit
breeding,YTWA,43,0.028169014084507043,Setophaga dominica,Yellow-throated Warbler
fallmigr,AMKE,85,0.971830985915493,Falco sparverius,American Kestrel
fallmigr,AMRE,85,0.8028169014084507,Setophaga ruticilla,American Redstart
fallmigr,ANPS,85,0.4647887323943662,Tachornis phoenicobia,Antillean Palm-Swift
fallmigr,BANA,85,1,Coereba flaveola,Bananaquit
fallmigr,BAOR,85,0.04225352112676056,Icterus galbula,Baltimore Oriole
fallmigr,BARS,85,0.22535211267605634,Hirundo rustica,Barn Swallow
fallmigr,BAWW,85,0.30985915492957744,Mniotilta varia,Black-and-white Warbler
fallmigr,BBPL,85,0.014084507042253521,Pluvialis squatarola,Black-bellied Plover
fallmigr,BEKI,85,0.09859154929577464,Megaceryle alcyon,Belted Kingfisher
fallmigr,BLPW,85,0.30985915492957744,Setophaga striata,Blackpoll Warbler
fallmigr,BPLT,85,0.9295774647887324,Phaenicophilus palmarum,Black-crowned Palm-Tanager
fallmigr,BRPE,85,0.056338028169014086,Pelecanus occidentalis,Brown Pelican
fallmigr,BTBW,85,0.056338028169014086,Setophaga caerulescens,Black-throated Blue Warbler
fallmigr,BTNW,85,0.014084507042253521,Setophaga virens,Black-throated Green Warbler
fallmigr,BUDG,85,0.14084507042253522,NA,NA
fallmigr,BWVI,85,0.028169014084507043,Vireo altiloquus,Black-whiskered Vireo
fallmigr,CAEG,85,0.43661971830985913,Bubulcus ibis,Cattle Egret
fallmigr,CAMA,85,0.04225352112676056,Progne dominicensis,Caribbean Martin
fallmigr,CASW,85,0.014084507042253521,Petrochelidon fulva,Cave Swallow
fallmigr,CGDO,85,1,Columbina passerina,Common Ground Dove
fallmigr,CMWA,85,0.971830985915493,Setophaga tigrina,Cape May Warbler
fallmigr,COGA,85,0.028169014084507043,Gallinula galeata,Common Gallinule
fallmigr,COTE,85,0.028169014084507043,Sterna hirundo,Common Tern
fallmigr,COYE,85,0.19718309859154928,Geothlypis trichas,Common Yellowthroat
fallmigr,CSWA,85,0.014084507042253521,Setophaga pensylvanica,Chestnut-sided Warbler
fallmigr,EUCD,85,0.971830985915493,Streptopelia decaocto,Eurasian Collared-Dove
fallmigr,FTFL,85,0.014084507042253521,Tyrannus savana,Fork-tailed Flycatcher
fallmigr,GAGR,85,0.5633802816901409,Quiscalus niger,Greater Antillean Grackle
fallmigr,GRAK,85,0.971830985915493,Tyrannus dominicensis,Gray Kingbird
fallmigr,GREG,85,0.2112676056338028,Ardea alba,Great Egret
fallmigr,GRHE,85,0.08450704225352113,Butorides virescens,Green Heron
fallmigr,HILC,85,0.4084507042253521,Coccyzus longirostris,Hispaniolan Lizard-Cuckoo
fallmigr,HIMA,85,0.9154929577464789,Anthracothorax dominicus,Hispaniolan Mango
fallmigr,HIWO,85,1,Melanerpes striatus,Hispaniolan Woodpecker
fallmigr,HOSP,85,1,Passer domesticus,House Sparrow
fallmigr,HOWA,85,0.04225352112676056,Setophaga citrina,Hooded Warbler
fallmigr,HPAK,85,0.9859154929577465,Psittacara chloropterus,Hispaniolan Parakeet
fallmigr,HPAT,85,0.49295774647887325,Amazona ventralis,Hispaniolan Parrot
fallmigr,KILL,85,0.028169014084507043,Charadrius vociferus,Killdeer
fallmigr,LESA,85,0.014084507042253521,Calidris minutilla,Least Sandpiper
fallmigr,LEYE,85,0.014084507042253521,Tringa flavipes,Lesser Yellowlegs
fallmigr,MACU,85,0.014084507042253521,Coccyzus minor,Mangrove Cuckoo
fallmigr,MAFR,85,0.04225352112676056,Fregata magnificens,Magnificent Frigatebird
fallmigr,MAWA,85,0.014084507042253521,Setophaga magnolia,Magnolia Warbler
fallmigr,MERL,85,0.8591549295774648,Falco columbarius,Merlin
fallmigr,MODO,85,0.971830985915493,Zenaida macroura,Mourning Dove
fallmigr,NOMO,85,0.971830985915493,Mimus polyglottos,Northern Mockingbird
fallmigr,NOPA,85,0.704225352112676,Setophaga americana,Northern Parula
fallmigr,NOWA,85,0.028169014084507043,Parkesia noveboracensis,Northern Waterthrush
fallmigr,OSPR,85,0.1267605633802817,Pandion haliaetus,Osprey
fallmigr,OVEN,85,0.07042253521126761,Seiurus aurocapilla,Ovenbird
fallmigr,PALM,85,1,Dulus dominicus,Palmchat
fallmigr,PAWA,85,0.028169014084507043,Setophaga palmarum,Palm Warbler
fallmigr,PBGR,85,0.014084507042253521,Podilymbus podiceps,Pied-billed Grebe
fallmigr,PEFA,85,0.38028169014084506,Falco peregrinus,Peregrine Falcon
fallmigr,PETH,85,0.014084507042253521,Margarops fuscatus,Pearly-eyed Thrasher
fallmigr,PRAW,85,0.36619718309859156,Setophaga discolor,Prairie Warbler
fallmigr,PROW,85,0.028169014084507043,Protonotaria citrea,Prothonotary Warbler
fallmigr,RBGR,85,0.014084507042253521,Pheucticus ludovicianus,Rose-breasted Grosbeak
fallmigr,REVI,85,0.014084507042253521,Vireo olivaceus,Red-eyed Vireo
fallmigr,RLTH,85,0.4225352112676056,Turdus plumbeus,Red-legged Thrush
fallmigr,ROPI,85,0.9859154929577465,Columba livia,Rock Pigeon
fallmigr,ROYT,85,0.11267605633802817,Thalasseus maximus,Royal Tern
fallmigr,RUTU,85,0.028169014084507043,Arenaria interpres,Ruddy Turnstone
fallmigr,SATE,85,0.04225352112676056,Thalasseus sandvicensis,Sandwich Tern
fallmigr,SBMU,85,0.28169014084507044,Lonchura punctulata,Scaly-breasted Munia
fallmigr,SEPL,85,0.028169014084507043,Charadrius semipalmatus,Semipalmated Plover
fallmigr,SESA,85,0.014084507042253521,Calidris pusilla,Semipalmated Sandpiper
fallmigr,SHCO,85,0.056338028169014086,Molothrus bonariensis,Shiny Cowbird
fallmigr,SNEG,85,0.056338028169014086,Egretta thula,Snowy Egret
fallmigr,SNPI,85,0.056338028169014086,Patagioenas squamosa,Scaly-naped Pigeon
fallmigr,SOSA,85,0.014084507042253521,Tringa solitaria,Solitary Sandpiper
fallmigr,SPSA,85,0.08450704225352113,Actitis macularius,Spotted Sandpiper
fallmigr,SUCO,85,0.014084507042253521,Cacatua galerita,Sulphur-crested Cockatoo
fallmigr,TRHE,85,0.014084507042253521,Egretta tricolor,Tricolored Heron
fallmigr,TUVU,85,0.014084507042253521,Cathartes aura,Turkey Vulture
