season,SppAlphaCode,detection_richness,prop_of_sites,ScientificName,CommonNameEnglish
breeding,AMKE,53,0.9295774647887324,Falco sparverius,American Kestrel
breeding,AMRE,53,0.028169014084507043,Setophaga ruticilla,American Redstart
breeding,ANPS,53,0.971830985915493,Tachornis phoenicobia,Antillean Palm-Swift
breeding,BANA,53,0.971830985915493,Coereba flaveola,Bananaquit
breeding,BARS,53,0.352112676056338,Hirundo rustica,Barn Swallow
breeding,BLSW,53,0.014084507042253521,Cypseloides niger,Black Swift
breeding,BPLT,53,0.647887323943662,Phaenicophilus palmarum,Black-crowned Palm-Tanager
breeding,BRNO,53,0.014084507042253521,Anous stolidus,Brown Noddy
breeding,BRPE,53,0.09859154929577464,Pelecanus occidentalis,Brown Pelican
breeding,BUDG,53,0.07042253521126761,NA,NA
breeding,CAEG,53,0.09859154929577464,Bubulcus ibis,Cattle Egret
breeding,CAMA,53,0.49295774647887325,Progne dominicensis,Caribbean Martin
breeding,CASW,53,0.04225352112676056,Petrochelidon fulva,Cave Swallow
breeding,CGDO,53,0.9577464788732394,Columbina passerina,Common Ground Dove
breeding,COTE,53,0.04225352112676056,Sterna hirundo,Common Tern
breeding,COYE,53,0.04225352112676056,Geothlypis trichas,Common Yellowthroat
breeding,EUCD,53,0.7887323943661971,Streptopelia decaocto,Eurasian Collared-Dove
breeding,GAGR,53,0.2535211267605634,Quiscalus niger,Greater Antillean Grackle
breeding,GRAK,53,0.9577464788732394,Tyrannus dominicensis,Gray Kingbird
breeding,GREG,53,0.04225352112676056,Ardea alba,Great Egret
breeding,GRHE,53,0.09859154929577464,Butorides virescens,Green Heron
breeding,HILC,53,0.2112676056338028,Coccyzus longirostris,Hispaniolan Lizard-Cuckoo
breeding,HIMA,53,0.8450704225352113,Anthracothorax dominicus,Hispaniolan Mango
breeding,HIWO,53,0.971830985915493,Melanerpes striatus,Hispaniolan Woodpecker
breeding,HOSP,53,0.971830985915493,Passer domesticus,House Sparrow
breeding,HPAK,53,0.9295774647887324,Psittacara chloropterus,Hispaniolan Parakeet
breeding,HPAT,53,0.30985915492957744,Amazona ventralis,Hispaniolan Parrot
breeding,LAGU,53,0.014084507042253521,Leucophaeus atricilla,Laughing Gull
breeding,LETE,53,0.028169014084507043,Sternula antillarum,Least Tern
breeding,MAFR,53,0.14084507042253522,Fregata magnificens,Magnificent Frigatebird
breeding,MODO,53,0.971830985915493,Zenaida macroura,Mourning Dove
breeding,NOMO,53,0.7746478873239436,Mimus polyglottos,Northern Mockingbird
breeding,OSPR,53,0.014084507042253521,Pandion haliaetus,Osprey
breeding,PALM,53,0.971830985915493,Dulus dominicus,Palmchat
breeding,PETH,53,0.014084507042253521,Margarops fuscatus,Pearly-eyed Thrasher
breeding,RLTH,53,0.23943661971830985,Turdus plumbeus,Red-legged Thrush
breeding,ROPI,53,0.971830985915493,Columba livia,Rock Pigeon
breeding,ROYT,53,0.09859154929577464,Thalasseus maximus,Royal Tern
breeding,SATE,53,0.04225352112676056,Thalasseus sandvicensis,Sandwich Tern
breeding,SBMU,53,0.07042253521126761,Lonchura punctulata,Scaly-breasted Munia
breeding,SHCO,53,0.11267605633802817,Molothrus bonariensis,Shiny Cowbird
breeding,SNEG,53,0.014084507042253521,Egretta thula,Snowy Egret
breeding,SPSA,53,0.04225352112676056,Actitis macularius,Spotted Sandpiper
breeding,SUCO,53,0.014084507042253521,Cacatua galerita,Sulphur-crested Cockatoo
breeding,TRHE,53,0.014084507042253521,Egretta tricolor,Tricolored Heron
breeding,TUVU,53,0.014084507042253521,Cathartes aura,Turkey Vulture
breeding,VEHU,53,0.7746478873239436,Mellisuga minima,Vervain Hummingbird
breeding,VIWE,53,0.5774647887323944,Ploceus cucullatus,Village Weaver
breeding,WCSW,53,0.014084507042253521,Streptoprocne zonaris,White-collared Swift
breeding,WWDO,53,0.971830985915493,Zenaida asiatica,White-winged Dove
breeding,YCNH,53,0.08450704225352113,Nyctanassa violacea,Yellow-crowned Night-Heron
breeding,YFGR,53,0.8732394366197183,Tiaris olivaceus,Yellow-faced Grassquit
breeding,YTWA,53,0.028169014084507043,Setophaga dominica,Yellow-throated Warbler
fallmigr,AMKE,92,0.971830985915493,Falco sparverius,American Kestrel
fallmigr,AMRE,92,0.8028169014084507,Setophaga ruticilla,American Redstart
fallmigr,ANPS,92,0.9859154929577465,Tachornis phoenicobia,Antillean Palm-Swift
fallmigr,BANA,92,1,Coereba flaveola,Bananaquit
fallmigr,BAOR,92,0.04225352112676056,Icterus galbula,Baltimore Oriole
fallmigr,BARS,92,0.8732394366197183,Hirundo rustica,Barn Swallow
fallmigr,BAWW,92,0.30985915492957744,Mniotilta varia,Black-and-white Warbler
fallmigr,BBPL,92,0.014084507042253521,Pluvialis squatarola,Black-bellied Plover
fallmigr,BEKI,92,0.09859154929577464,Megaceryle alcyon,Belted Kingfisher
fallmigr,BLPW,92,0.30985915492957744,Setophaga striata,Blackpoll Warbler
fallmigr,BPLT,92,0.9295774647887324,Phaenicophilus palmarum,Black-crowned Palm-Tanager
fallmigr,BRNO,92,0.028169014084507043,Anous stolidus,Brown Noddy
fallmigr,BRPE,92,0.14084507042253522,Pelecanus occidentalis,Brown Pelican
fallmigr,BTBW,92,0.056338028169014086,Setophaga caerulescens,Black-throated Blue Warbler
fallmigr,BTNW,92,0.014084507042253521,Setophaga virens,Black-throated Green Warbler
fallmigr,BUDG,92,0.14084507042253522,NA,NA
fallmigr,BWVI,92,0.028169014084507043,Vireo altiloquus,Black-whiskered Vireo
fallmigr,CAEG,92,0.43661971830985913,Bubulcus ibis,Cattle Egret
fallmigr,CAMA,92,0.647887323943662,Progne dominicensis,Caribbean Martin
fallmigr,CASW,92,0.08450704225352113,Petrochelidon fulva,Cave Swallow
fallmigr,CATE,92,0.014084507042253521,Hydroprogne caspia,Caspian Tern
fallmigr,CGDO,92,1,Columbina passerina,Common Ground Dove
fallmigr,CMWA,92,0.971830985915493,Setophaga tigrina,Cape May Warbler
fallmigr,COGA,92,0.028169014084507043,Gallinula galeata,Common Gallinule
fallmigr,COTE,92,0.08450704225352113,Sterna hirundo,Common Tern
fallmigr,COYE,92,0.19718309859154928,Geothlypis trichas,Common Yellowthroat
fallmigr,CSWA,92,0.014084507042253521,Setophaga pensylvanica,Chestnut-sided Warbler
fallmigr,EUCD,92,0.971830985915493,Streptopelia decaocto,Eurasian Collared-Dove
fallmigr,FTFL,92,0.014084507042253521,Tyrannus savana,Fork-tailed Flycatcher
fallmigr,GAGR,92,0.5633802816901409,Quiscalus niger,Greater Antillean Grackle
fallmigr,GBTE,92,0.014084507042253521,Gelochelidon nilotica,Gull-billed Tern
fallmigr,GRAK,92,0.971830985915493,Tyrannus dominicensis,Gray Kingbird
fallmigr,GREG,92,0.2112676056338028,Ardea alba,Great Egret
fallmigr,GRHE,92,0.08450704225352113,Butorides virescens,Green Heron
fallmigr,HILC,92,0.4084507042253521,Coccyzus longirostris,Hispaniolan Lizard-Cuckoo
fallmigr,HIMA,92,0.9154929577464789,Anthracothorax dominicus,Hispaniolan Mango
fallmigr,HIWO,92,1,Melanerpes striatus,Hispaniolan Woodpecker
fallmigr,HOSP,92,1,Passer domesticus,House Sparrow
fallmigr,HOWA,92,0.04225352112676056,Setophaga citrina,Hooded Warbler
fallmigr,HPAK,92,0.9859154929577465,Psittacara chloropterus,Hispaniolan Parakeet
fallmigr,HPAT,92,0.49295774647887325,Amazona ventralis,Hispaniolan Parrot
fallmigr,KILL,92,0.028169014084507043,Charadrius vociferus,Killdeer
fallmigr,LAGU,92,0.014084507042253521,Leucophaeus atricilla,Laughing Gull
fallmigr,LESA,92,0.014084507042253521,Calidris minutilla,Least Sandpiper
fallmigr,LETE,92,0.08450704225352113,Sternula antillarum,Least Tern
fallmigr,LEYE,92,0.014084507042253521,Tringa flavipes,Lesser Yellowlegs
fallmigr,MACU,92,0.014084507042253521,Coccyzus minor,Mangrove Cuckoo
fallmigr,MAFR,92,0.36619718309859156,Fregata magnificens,Magnificent Frigatebird
fallmigr,MAWA,92,0.014084507042253521,Setophaga magnolia,Magnolia Warbler
fallmigr,MERL,92,0.8591549295774648,Falco columbarius,Merlin
fallmigr,MODO,92,0.971830985915493,Zenaida macroura,Mourning Dove
fallmigr,NOMO,92,0.971830985915493,Mimus polyglottos,Northern Mockingbird
fallmigr,NOPA,92,0.704225352112676,Setophaga americana,Northern Parula
fallmigr,NOWA,92,0.028169014084507043,Parkesia noveboracensis,Northern Waterthrush
fallmigr,NRWS,92,0.014084507042253521,Stelgidopteryx serripennis,Northern Rough-winged Swallow
fallmigr,OSPR,92,0.3380281690140845,Pandion haliaetus,Osprey
fallmigr,OVEN,92,0.07042253521126761,Seiurus aurocapilla,Ovenbird
fallmigr,PALM,92,1,Dulus dominicus,Palmchat
fallmigr,PAWA,92,0.028169014084507043,Setophaga palmarum,Palm Warbler
fallmigr,PBGR,92,0.014084507042253521,Podilymbus podiceps,Pied-billed Grebe
fallmigr,PEFA,92,0.38028169014084506,Falco peregrinus,Peregrine Falcon
fallmigr,PETH,92,0.014084507042253521,Margarops fuscatus,Pearly-eyed Thrasher
fallmigr,PRAW,92,0.36619718309859156,Setophaga discolor,Prairie Warbler
fallmigr,PROW,92,0.028169014084507043,Protonotaria citrea,Prothonotary Warbler
fallmigr,PUMA,92,0.014084507042253521,Progne subis,Purple Martin
