sector,sectorid,SiteID,lat,long,iTreePlot,h2o_dist_m
Ciudad Nueva,CN,CN02,18.466671,-69.8902913,2,20.54629482
Ciudad Nueva,CN,CN03,18.466605,-69.89121565,3,55.16508753
Ciudad Nueva,CN,CN04,18.467589,-69.8927606,4,242.7462176
Ciudad Nueva,CN,CN09,18.471686,-69.89199136,9,548.978521
Ciudad Nueva,CN,CN12,18.466877,-69.89544857,12,341.3408165
Ciudad Nueva,CN,CN13,18.466398,-69.89381811,13,223.4998015
Ciudad Nueva,CN,CN14,18.468806,-69.89381524,14,417.1933338
Ciudad Nueva,CN,CN18,18.467241,-69.89305558,18,229.0076384
Ciudad Nueva,CN,CN21,18.466854,-69.88963337,21,2.932516018
Ciudad Nueva,CN,CN22,18.467671,-69.89197715,22,197.9308346
Ciudad Nueva,CN,CN25,18.465493,-69.89418085,25,141.7572051
Ciudad Nueva,CN,CN27,18.468068,-69.89140057,27,204.8182164
Ciudad Nueva,CN,CN30,18.468812,-69.89099006,30,227.1186122
Ciudad Nueva,CN,CN33,18.470436,-69.89129448,33,392.2920267
Ciudad Nueva,CN,CN34,18.466067,-69.89307674,34,138.3624853
Gazcue,GA,GA01,18.465981,-69.9102962,1,917.9479752
Gazcue,GA,GA03,18.475904,-69.89741785,3,1264.867883
Gazcue,GA,GA04,18.469754,-69.89690016,4,693.1987933
Gazcue,GA,GA05,18.47297,-69.89527455,5,871.7478376
Gazcue,GA,GA06,18.461244,-69.90594425,6,236.6629176
Gazcue,GA,GA07,18.467591,-69.90580626,7,864.3816716
Gazcue,GA,GA08,18.468802,-69.9026387,8,909.1323189
Gazcue,GA,GA09,18.470886,-69.90581727,9,1212.802372
Gazcue,GA,GA10,18.46406,-69.90678,10,557.7109235
Gazcue,GA,GA115,18.47204,-69.90735,14,1382.848009
Gazcue,GA,GA121,18.46255,-69.89966,15,156.2342145
Gazcue,GA,GA172,18.46787,-69.91065,17,1118.919425
Gazcue,GA,GA173,18.47035,-69.90355,18,1100.28763
Gazcue,GA,GA209,18.466347,-69.898214,19,427.0533079
Gazcue,GA,GA222,18.464489,-69.903105,20,465.937327
Gazcue,GA,GA42,18.47514,-69.90622,11,1680.956493
Gazcue,GA,GA64,18.46383,-69.89469,12,2.996198574
Gazcue,GA,GA88,18.46188,-69.9081,13,408.3257811
San Carlos,SC,SC01,18.47336,-69.89348,22,788.6905915
San Carlos,SC,SC06,18.47893,-69.89414,23,1196.165337
San Carlos,SC,SC07,18.47528,-69.89523,24,1068.02326
San Carlos,SC,SC08,18.47985,-69.89456,25,1229.295506
San Carlos,SC,SC10,18.47368,-69.89175,26,738.8001275
San Carlos,SC,SC11,18.47942,-69.8963,27,1417.404721
San Carlos,SC,SC16,18.47716,-69.89696,29,1343.496243
San Carlos,SC,SC17,18.47877,-69.89851,20,1584.154906
San Carlos,SC,SC20,18.47598,-69.89055,31,912.4296967
San Carlos,SC,SC23,18.48,-69.89359,32,1125.604599
San Carlos,SC,SC26,18.47779,-69.89535,33,1311.989552
San Carlos,SC,SC28,18.475402,-69.89322,28,975.4400913
San Carlos,SC,SC29,18.47594,-69.89167,34,971.1685465
San Carlos,SC,SC31,18.47263,-69.89303,35,695.01164
San Carlos,SC,SC35,18.47395,-69.89401,36,873.9194294
Zona Colonial,ZC,ZC01,18.476334,-69.88389779,1,215.9931971
Zona Colonial,ZC,ZC06,18.471549,-69.88587064,6,350.584411
Zona Colonial,ZC,ZC07,18.477976,-69.88516745,7,302.5255291
Zona Colonial,ZC,ZC08,18.479124,-69.8844299,8,184.4005633
Zona Colonial,ZC,ZC09,18.469423,-69.88372074,9,75.08073351
Zona Colonial,ZC,ZC11,18.469201,-69.884449,11,93.53764969
Zona Colonial,ZC,ZC12,18.47074,-69.88592643,12,260.9495118
Zona Colonial,ZC,ZC14,18.47653,-69.88690316,14,528.3727148
Zona Colonial,ZC,ZC15,18.472165,-69.89107058,15,556.4022086
Zona Colonial,ZC,ZC17,18.472658,-69.887195,17,491.1097616
Zona Colonial,ZC,ZC21,18.469194,-69.88759545,21,145.2954832
Zona Colonial,ZC,ZC37,18.473611,-69.886194,136,497.9831486
Zona Colonial,ZC,ZCA04,18.47754604,-69.88595903,,397.9960505
Zona Colonial,ZC,ZCA06,18.47062502,-69.88443532,,228.0367204
Gazcue,GA,GA999,18.47648,-69.8963,,1241.67837
San Carlos,SC,SC15,18.47639,-69.89322,,1075.751918
Zona Colonial,ZC,ZCA01,18.47333799,-69.88397897,,277.67846
Zona Colonial,ZC,ZCA02,18.47495897,-69.88315796,,157.0423493
Zona Colonial,ZC,ZCA03,18.47477297,-69.88540599,,394.6460559
Zona Colonial,ZC,ZCA05,18.47216503,-69.88424703,,318.7052214
Zona Colonial,ZC,ZCA07,18.47172397,-69.88253301,,146.2589594
