"Plot","Land Use","% of Plot"
2,Park,100
3,Transportation,50
3,Commercial/Industrial,50
4,Residential,100
5,Transportation,60
5,Residential,40
9,Park,100
12,Transportation,50
12,Commercial/Industrial,10
12,Institutional,30
12,Residential,10
13,Transportation,5
13,Park,95
14,Commercial/Industrial,40
14,Residential,60
18,Residential,100
21,Park,100
22,Residential,100
25,Park,100
27,Residential,100
30,Transportation,30
30,Residential,70
32,Park,100
33,Commercial/Industrial,50
33,Residential,50
34,Transportation,10
34,Residential,90
