"ID","Stratum","Address","Latitude (Y)","Longitude (X)","Date","Crew","Contact Info","Size (ha)","Photo ID","Stake","% Tree","% Shrub","% Plantable","% Measured","Notes","Complete?"
2,Urban,"Av. Malecon/Palo Hincado (Litoral marino)",18.466671,-69.890291300139211,8/20/2016,1,,0.0405,".N(5137) .E(5134) .W(5145) .S(5147)",False,"30% - 35%",0%,"5% - 10%",100,"Punto ubicado al oeste del Fuerte San Gil",True
3,Urban,"Calle Paseo Presidente Billini, esquina Calle Cambronal",18.466605,-69.891215654387253,8/22/2016,1,,0.0405,".N(0388) N. (0391) .E(0389) E.(0392) .S(0390) S.(0393)",False,0%,0%,0%,55,,True
4,Urban,"Calle Las Carreras, Equina Arzobispo Portes, Edificio RUMORI NO. 1",18.467589,-69.892760600592041,8/22/2016,1,,0.0405,W.(0377),False,0%,0%,0%,5,,True
5,Urban,"Calle Padre Billini esq. Calle Las Carreras",18.468547,-69.893407308635389,8/22/2016,1,,0.0405,".N(0362) N.(0361) .S(0367) S.(0365) .E(0363) E.(0364) .W(0368) W. (0369)",False,0%,0%,0%,55,,True
9,Urban,"Av. Bolivar/esq Calle Palo Hincado",18.471686,-69.891991363642262,8/20/2016,1,,0.0405,".N(0347) N.(0348) .E(0349) E.(0350)",False,"85% - 90%","10% - 15%",0%,100,"Punto ubicado al noreste del parque. Abudante vegetacion.",True
12,Urban,"Av. Independencia esq. Paseo Presidente Billini",18.466877,-69.89544856515522,8/21/2016,1,,0.0405,".N(006) N.(0007) .E(0009) E.(00010)",False,"50% - 55%","5% - 10%","10% - 15%",100,"Punto ubicado en el medio de la Av. Independencia.",True
13,Urban,"Calle Fabio Fiallo, parque Eugenio Maria de Hostos",18.466398,-69.893818111557252,8/13/2016,1,,0.0405,".N(0290) N.(0294) .E(0291) E.(0295) .S(0292) S.(0296) .W(0293) W.(0298)",False,"90% - 95%","5% - 10%",0%,100,"Plot completo ubicado en espacio publico",True
14,Urban,"Av. Independencia/Calle Francisco J. Peinado",18.468806,-69.893815244270243,8/21/2016,1,,0.0405,".N(0017) N.(0018) .E(0020)",False,"10% - 15%","1% - 5%",0%,100,"30% del plot se encuentra en espacio privado. Acceso a esta parte denegado.",True
18,Urban,"Calle Arzobispo A. Portes/ Calle Las Carreras",18.467241,-69.893055582321367,8/21/2016,1,,0.0405,".N(0055) N.90054) .E(0058) E.(0059)",False,"15% - 20%","5% - 10%",0%,100,,True
21,Urban,"Monumento Fuente San Gil (Sur) Av. Malecon/Calle Palo Hincado",18.466854,-69.889633371979826,8/20/2016,1,,0.0405,".N(0354) N.(0359) .E(0356) .E(0356) ",False,"15% - 20%",0%,0%,100,"40% del plot localizado en el Mar Caribe ",True
22,Urban,"Arzobispo Portes entre Calle Cambronal y calle El numero ",18.467671,-69.891977145213914,8/21/2016,1,,0.0405,".N(0047) N.(0048) .E(0046) E.(0045)",False,0%,0%,0%,95,,True
25,Urban,"Calle Paseo Presidente Billini (Parque Eugenio Maria de Hostos)",18.465493,-69.894180851435465,9/14/2016,1,,0.0405,".N (0333) N. (0337) .E(0334) E.(0338) .S(0335) S.(0339) .W(0336) W.(0340)",False,"35% - 40%",0%,0%,100,"El plot completo esta ubicado en propiedad publica",True
27,Urban,"Calle Arzobispo Portes entre calle Estrelleta y calle Cambronal ",18.468068,-69.891400566149329,8/22/2016,1,,0.0405,"S.( 0374) Fachada edificio Plot ",False,0%,0%,0%,15,"Plot ubicado en 2 azoteas y un patio interior. El punto esta sobre la azotea de la casa #605.",True
30,Urban,"Calle Beller entre calle Padre Pina y calle Estrelleta",18.468812,-69.890990060439449,8/23/2016,1,,0.0405,"Fachada (0382)",False,0%,"5% - 10%",0%,30,"Plot casi completo, ubicado en propiedad privada. Techo casa #3",True
32,Urban,"Calle Fabio Fiallo. Parque Eugenio Maria de Hostos",18.465959,-69.893664564600513,8/14/2016,1,,0.0405,".N(0320) N.(0324) .E(0321) E.(0325) .S(0322) S.(0326) .W(0323) W.(0327)",False,"5% - 10%","15% - 20%",0%,100,"El plot completo esta en espacio publico.",True
33,Urban,"Calle Padre Pina/ Av. Independencia ",18.470436,-69.891294478162379,8/21/2016,1,,0.0405,".N(0027) N.(0028) .E(0029) ",False,0%,0%,0%,50,"50% del plot se encuentra en espacio privado (acceso denegado)",True
34,Urban,"Calle Francisco J. Peynado entre Jose Gabriel Garcia y calle Paseo Presidente Billini",18.466067,-69.893076738459442,8/23/2016,1,,0.0405,"Fachada Foto (0470)",False,"5% - 10%",0%,"35% - 40%",45,,True
