"Plot","Object Type","Direction","Distance (m)","DBH (cm)","Notes"
2,Other,1,2.0,,"Stairs. Foto 5144"
2,"Building corner",160,6.0,,"Vertice balcon sur. Foto 5146"
3,"Fire hydrant",155,4.0,,"Foto 0395"
3,"Building corner",167,7.0,,"Borde hotel Napolitano. Foto 0396"
3,"Fire hydrant",350,18.0,,"Foto 0394"
4,"Building wall",55,6.0,,"Borde noreste edificio. Foto 0319"
4,"Light post",125,31.0,,"Foto 0378"
5,"Building corner",93,13.0,,0371
5,"Light post",250,18.0,,0370
9,Other,1,12.0,,"Foto 0352"
9,"Light post",68,7.0,,"Foto 0351"
9,"Building wall",180,11.0,,"Foto 0353"
12,"Building corner",9,19.0,,"Vertice este edificio (foto 0012)"
12,Other,300,16.0,,"Escalera Edificio Buenaventura (foto 0011)"
13,"Light post",40,8.0,,"Foto 0304"
13,"Light post",190,8.0,,"Foto 0306"
13,"Building corner",295,11.0,,"Foto 0305"
14,"Building wall",20,12.0,,"Letrero parde frontal restaurantte Cantabrico"
14,Other,190,19.0,,"Reja esquina. Foto (0023)"
14,"Light post",320,7.0,,"Foto (0021)"
18,"Building wall",1,11.0,,"Foto (0060)"
18,"Building wall",180,3.0,,"Foto (0062)"
21,"Building wall",1,7.0,,"Foto ( 0354)"
21,"Building wall",294,25.0,,"Pared suroeste Fuerte San Gil. Foto 0354"
22,"Building wall",1,6.0,,"Foto 0040"
22,"Light post",155,4.0,,"Foto 0043"
22,"Building wall",180,6.0,,"Foto 0045"
25,"Light post",40,3.0,,"Foto 0341"
25,"Light post",165,6.0,,"Foto 0342"
25,"Light post",255,8.0,,"Foto 0343"
27,"Light post",135,26.0,,"Foto 0376"
27,"Light post",158,23.0,,"Foto 0375"
30,"Light post",100,11.0,,"Foto 0382"
30,"Light post",175,6.0,,"Foto 0382"
32,"Light post",80,8.0,,"Foto 0331"
32,"Light post",300,14.0,,"Foto 0329"
32,"Light post",315,3.0,,"Foto 0330"
33,"Light post",25,5.0,,"Foto 0031"
33,"Light post",196,4.0,,"Foto 0032"
33,"Building corner",295,11.0,,"Borde noroeste edificio naranja Foto (0030)"
34,"Building corner",19,11.0,,"Esquina noreste desde el punto al edifcio norte del Plot Foto (0469)"
34,"Building corner",85,8.0,,"Esquina sueste desde el punto al edificio sur del plot (0468) "
