"Plot","ID","Species","Height (m)","% Shrub Area","% Missing","Comments"
9,1,"Carmona (Scorpionbush spp)",0.81,100,"10% - 15%","Foto 2080"
12,1,"Cycas revoluta (Sago palm)",0.72,35,0%,"Foto 2088"
12,2,"Dypsis lutescens (Areca palm)",1.30,35,0%,"Foto 2088"
12,3,"Hibiscus moscheutos (Rose mallow hibiscus)",1.00,30,0%,"Foto 2088"
13,1,"Carmona (Scorpionbush spp)",0.33,100,"5% - 10%","Foto 0301"
14,1,"Dypsis lutescens (Areca palm)",1.30,100,"15% - 20%","Foto 0020"
18,1,"Hibiscus moscheutos (Rose mallow hibiscus)",1.00,100,0%,"Foto 0055"
30,1,"Bougainvillea (Bougainvillea spp)",5.40,40,"1% - 5%","Foto 0380"
30,2,"Croton (Croton spp)",2.02,15,"1% - 5%","Foto 090826"
30,3,"Croton (Croton spp)",1.80,15,"5% - 10%","Foto 0386 0387"
30,4,"Acalypha wilkesiana (Copperleaf)",2.30,30,"1% - 5%","Foto 0384 0385"
32,1,"Coccoloba uvifera (Sea grape)",0.60,100,"10% - 15%","Foto 0332"
