Plot ID,Tree ID,Species Name,DBH (in),Height (ft),Crown Height (ft),Crown Width (ft),Canopy Cover (ft^2),Tree Condition,Leaf Area (ft^2),Leaf Biomass (lb),Leaf Area Index,Basal Area (ft^2),Street Tree,Native to State,"Private Tree
"
2,1,Coconut palm,11.6,37.1,8.5,25.4,507.8,GOOD,489.8,16.8,1.0,0.736,NO,NO,Yes
2,2,Coconut palm,10.3,37.7,9.5,23.1,420.2,GOOD,388.6,13.3,0.9,0.580,NO,NO,Yes
2,3,Coconut palm,9.0,29.5,6.6,23.5,432.2,GOOD,341.4,11.7,0.8,0.443,NO,NO,Yes
2,4,Coconut palm,9.8,33.5,9.2,22.1,385.2,GOOD,339.6,11.7,0.9,0.524,NO,NO,Yes
2,5,Coconut palm,13.3,43.0,20.0,25.9,527.6,GOOD,792.3,27.2,1.5,0.966,NO,NO,Yes
9,1,West indian mahogany,20.4,40.0,6.6,48.2,"1,826.8",EXCELLENT,"4,061.9",61.8,2.2,2.278,NO,NO,Yes
9,2,Bauhinia,13.4,21.7,7.3,39.0,"1,197.2",EXCELLENT,"1,699.2",30.1,1.4,0.977,NO,NO,Yes
9,3,Manila,5.9,18.0,9.8,12.3,118.9,EXCELLENT,159.1,5.5,1.3,0.190,NO,NO,Yes
9,4,Manila,7.2,20.3,11.5,29.0,662.1,EXCELLENT,"1,168.6",40.1,1.8,0.283,NO,NO,Yes
9,5,Acacia amarilla,7.8,21.7,9.8,26.6,554.7,EXCELLENT,854.5,7.6,1.5,0.335,NO,NO,Yes
9,6,West indian mahogany,10.8,23.3,6.6,17.1,228.6,EXCELLENT,398.3,6.1,1.7,0.640,NO,NO,Yes
9,7,Manila,6.7,18.7,5.9,11.2,97.7,EXCELLENT,72.5,2.5,0.7,0.247,NO,NO,Yes
9,8,White dwarf tabebuia,1.3,44.3,16.4,18.0,255.7,EXCELLENT,291.8,3.6,1.1,0.009,NO,NO,Yes
9,9,Puerto rico royal palm,14.1,48.6,45.3,9.4,68.7,EXCELLENT,407.5,14.0,5.9,1.084,NO,NO,Yes
9,10,Manila,4.8,9.2,6.1,9.8,76.1,EXCELLENT,78.5,2.7,1.0,0.128,NO,NO,Yes
9,11,Manila,4.5,12.0,4.4,8.7,59.4,EXCELLENT,55.7,1.9,0.9,0.110,NO,NO,Yes
9,12,Manila,2.5,11.8,4.5,9.8,76.1,EXCELLENT,56.1,1.9,0.7,0.035,NO,NO,Yes
9,13,Manila,4.5,6.9,3.3,8.7,59.4,EXCELLENT,51.8,1.8,0.9,0.112,NO,NO,Yes
9,14,Manila,2.5,11.8,3.0,9.0,63.9,EXCELLENT,53.9,1.9,0.8,0.035,NO,NO,Yes
12,1,Benjamin fig,27.0,31.8,8.5,44.9,"1,586.7",GOOD,"4,766.4",76.4,3.0,3.980,YES,NO,Yes
12,2,Benjamin fig,24.4,33.8,7.2,39.7,"1,237.7",GOOD,"3,556.0",57.0,2.9,3.261,YES,NO,Yes
12,3,Benjamin fig,28.5,37.1,6.2,48.7,"1,864.3",GOOD,"3,864.4",62.0,2.1,4.421,YES,NO,Yes
13,1,Pink Poui,35.4,65.6,17.3,51.0,"2,044.2",GOOD,"4,848.5",60.5,2.4,6.850,NO,NO,Yes
13,2,Pink Poui,36.4,65.6,15.4,52.3,"2,150.7",GOOD,"5,446.7",67.9,2.5,7.236,NO,NO,Yes
13,3,Pink Poui,19.9,65.6,12.4,59.1,"2,739.1",GOOD,"5,297.8",66.1,1.9,2.157,NO,NO,Yes
13,4,Pink Poui,37.2,65.6,15.7,57.6,"2,603.8",GOOD,"6,283.2",78.3,2.4,7.552,NO,NO,Yes
13,5,Pink Poui,16.1,65.6,53.4,29.2,669.6,GOOD,"5,676.9",70.8,8.5,1.422,NO,NO,Yes
14,1,Benjamin fig,27.4,34.1,9.2,51.2,"2,057.4",EXCELLENT,"4,888.8",78.4,2.4,4.108,YES,NO,Yes
18,1,Roble amarillo,7.4,20.3,3.9,16.4,211.3,EXCELLENT,198.2,2.5,0.9,0.298,YES,NO,Yes
21,1,Tropical almond,11.4,22.0,9.2,16.2,207.1,FAIR,177.8,4.7,0.9,0.706,YES,NO,Yes
25,1,Tropical almond,16.7,41.7,16.4,37.1,"1,079.5",GOOD,"2,659.5",70.5,2.5,1.527,NO,NO,Yes
25,2,Tropical almond,12.4,34.1,11.2,24.9,488.3,EXCELLENT,"1,160.3",30.8,2.4,0.834,NO,NO,No
25,3,Tropical almond,21.3,36.7,12.1,38.2,"1,147.4",POOR,"2,536.4",67.2,2.2,2.466,NO,NO,Yes

