Plot ID,Tree ID,Species Name,CO Removed (oz/yr),O3 Removed (oz/yr),NO2 Removed (oz/yr),SO2 Removed (oz/yr),PM10* Removed (oz/yr),PM2.5 Removed (oz/yr),CO Removed ($/yr),O3 Removed ($/yr),NO2 Removed ($/yr),SO2 Removed ($/yr),PM10* Removed ($/yr),PM2.5 Removed ($/yr)
2,1,Coconut palm,0.5,1.3,0.0,0.2,1.3,0.0,0.02,0.01,0.00,0.00,0.27,0.00
2,2,Coconut palm,0.4,1.0,0.0,0.2,1.0,0.0,0.02,0.00,0.00,0.00,0.21,0.00
2,3,Coconut palm,0.4,0.9,0.0,0.1,0.9,0.0,0.02,0.00,0.00,0.00,0.19,0.00
2,4,Coconut palm,0.4,0.9,0.0,0.1,0.9,0.0,0.02,0.00,0.00,0.00,0.19,0.00
2,5,Coconut palm,0.9,2.1,0.0,0.3,2.0,0.0,0.04,0.01,0.00,0.00,0.44,0.00
9,1,West indian mahogany,4.4,10.6,0.0,1.6,10.5,0.2,0.20,0.04,0.00,0.00,2.25,0.02
9,2,Bauhinia,1.9,4.4,0.0,0.7,4.4,0.1,0.08,0.02,0.00,0.00,0.94,0.01
9,3,Manila,0.2,0.4,0.0,0.1,0.4,0.0,0.01,0.00,0.00,0.00,0.09,0.00
9,4,Manila,1.3,3.1,0.0,0.5,3.0,0.0,0.06,0.01,0.00,0.00,0.65,0.01
9,5,Acacia amarilla,0.9,2.2,0.0,0.3,2.2,0.0,0.04,0.01,0.00,0.00,0.47,0.01
9,6,West indian mahogany,0.4,1.0,0.0,0.2,1.0,0.0,0.02,0.00,0.00,0.00,0.22,0.00
9,7,Manila,0.1,0.2,0.0,0.0,0.2,0.0,0.00,0.00,0.00,0.00,0.04,0.00
9,8,White dwarf tabebuia,0.3,0.8,0.0,0.1,0.8,0.0,0.01,0.00,0.00,0.00,0.16,0.00
9,9,Puerto rico royal palm,0.4,1.1,0.0,0.2,1.1,0.0,0.02,0.00,0.00,0.00,0.23,0.00
9,10,Manila,0.1,0.2,0.0,0.0,0.2,0.0,0.00,0.00,0.00,0.00,0.04,0.00
9,11,Manila,0.1,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.03,0.00
9,12,Manila,0.1,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.03,0.00
9,13,Manila,0.1,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.03,0.00
9,14,Manila,0.1,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.03,0.00
12,1,Benjamin fig,5.2,12.5,0.0,1.9,12.3,0.2,0.24,0.05,0.00,0.00,2.64,0.03
12,2,Benjamin fig,3.9,9.3,0.0,1.4,9.2,0.1,0.18,0.04,0.00,0.00,1.97,0.02
12,3,Benjamin fig,4.2,10.1,0.0,1.5,10.0,0.2,0.19,0.04,0.00,0.00,2.14,0.02
13,1,Pink Poui,5.3,12.7,0.0,1.9,12.5,0.2,0.24,0.05,0.00,0.00,2.68,0.03
13,2,Pink Poui,6.0,14.2,0.0,2.1,14.0,0.2,0.27,0.06,0.00,0.00,3.01,0.03
13,3,Pink Poui,5.8,13.8,0.0,2.1,13.7,0.2,0.26,0.05,0.00,0.00,2.93,0.03
13,4,Pink Poui,6.9,16.4,0.0,2.5,16.2,0.3,0.31,0.06,0.00,0.00,3.48,0.04
13,5,Pink Poui,6.2,14.8,0.0,2.2,14.6,0.2,0.28,0.06,0.00,0.00,3.14,0.03
14,1,Benjamin fig,5.3,12.8,0.0,1.9,12.6,0.2,0.24,0.05,0.00,0.00,2.70,0.03
18,1,Roble amarillo,0.2,0.5,0.0,0.1,0.5,0.0,0.01,0.00,0.00,0.00,0.11,0.00
21,1,Tropical almond,0.2,0.5,0.0,0.1,0.5,0.0,0.01,0.00,0.00,0.00,0.10,0.00
25,1,Tropical almond,2.9,6.9,0.0,1.0,6.9,0.1,0.13,0.03,0.00,0.00,1.47,0.02
25,2,Tropical almond,1.3,3.0,0.0,0.5,3.0,0.0,0.06,0.01,0.00,0.00,0.64,0.01
25,3,Tropical almond,2.8,6.6,0.0,1.0,6.5,0.1,0.13,0.03,0.00,0.00,1.40,0.01

