"Plot","Land Use","% of Plot"
1,Commercial/Industrial,100
2,Institutional,100
3,Institutional,100
4,Transportation,50
4,Residential,25
4,Commercial/Industrial,25
5,Residential,100
6,Other,100
7,Other,100
8,Transportation,30
8,Residential,40
8,Commercial/Industrial,30
9,Transportation,10
9,Institutional,90
10,Transportation,25
10,Residential,75
11,Transportation,40
11,Institutional,60
12,Park,100
13,Institutional,100
14,Institutional,50
14,Park,50
15,Commercial/Industrial,100
16,Institutional,100
17,Residential,100
18,Transportation,80
18,Residential,10
18,Commercial/Industrial,10
19,Transportation,5
19,Commercial/Industrial,95
20,Institutional,100
