"Plot","Object Type","Direction","Distance (m)","DBH (cm)","Notes"
1,"Building corner",208,17.0,,"Borde sur edificio #29. Foto 0622"
1,"Light post",262,37.0,,"Foto 0621"
2,"Building wall",1,20.0,,"Pared de roca caliza. Foto 0645"
2,"Building wall",180,16.0,,"Foto 0647"
3,"Light post",3,15.0,,"Foto 0670"
3,"Building wall",326,40.0,,"Pared Palacito. Foto (0664)"
4,"Building wall",135,7.0,,"Pared CENTU. Foto 0681"
4,"Light post",254,27.0,,"Foto 0682"
5,"Light post",10,22.0,,"Foto 0675"
5,"Light post",25,34.0,,"Foto 0676"
6,"Building corner",249,23.0,,"Foto 0611"
6,"Light post",337,24.0,,"Foto 0610"
7,Other,325,96.0,,"Esquina noroeste solar baldi. Foto 0694"
7,"Light post",347,103.0,,"Foto 0695"
8,"Light post",8,17.0,,"Foto 0637"
8,"Building corner",69,7.0,,"Foto 0636"
9,"Building corner",191,18.0,,"Esquina suroeste edificio. Foto 0693"
9,"Light post",199,31.0,,"Foto 0692"
10,"Light post",5,12.0,,"Foto 0614"
10,"Building corner",45,9.0,,"Foto 0613"
11,"Light post",220,36.0,,"Foto 0595"
11,"Building corner",280,28.0,,"Foto 0603"
12,Other,4,11.0,,"Banco Av. G. Whashignton. Foto 0492"
12,Other,311,12.0,,"Borde muro. Foto 0491"
13,Other,15,12.0,,"Borde escalera. Foto 0520"
13,Other,135,14.0,,"Borde escalera. Foto 0532"
14,"Light post",212,11.0,,"Foto 0584"
14,"Light post",342,14.0,,"Foto 0583"
15,"Building corner",5,11.0,,"Foto 0507"
15,"Building corner",79,9.0,,"Esquina terraza. Foto 0506"
16,"Light post",15,50.0,,"Foto 0591"
16,"Light post",93,53.0,,"Foto 0592"
17,"Light post",60,29.0,,"Foto 0572"
17,"Light post",95,32.0,,"Foto 0571"
18,"Building corner",195,11.0,,"Foto 0567"
18,"Light post",260,7.0,,"Foto 0568"
19,"Building corner",277,3.0,,"Foto 0555"
19,"Light post",335,12.0,,"Foto 0554"
20,"Building corner",60,16.0,,"Foto 0534"
20,Other,175,15.0,,"Oficina Orientacion Academica. Foto 0535"
