"Plot","ID","Survey Date","Status","Distance (m)","Direction","Species","Land Use","DBH 1 (cm)","DBH 1: Height (m)","DBH 1: Measured?","DBH 2 (cm)","DBH 2: Height (m)","DBH 2: Measured?","DBH 3 (cm)","DBH 3: Height (m)","DBH 3: Measured?","DBH 4 (cm)","DBH 4: Height (m)","DBH 4: Measured?","DBH 5 (cm)","DBH 5: Height (m)","DBH 5: Measured?","DBH 6 (cm)","DBH 6: Height (m)","DBH 6: Measured?","Crown: Condition","Total Height (m)","Crown: Top Height (m)","Crown: Base Height (m)","Crown: Width N/S (m)","Crown: Width E/W (m)","Crown: % Missing","% Impervious","% Shrub","Crown: Light Exposure","Building 1: Direction","Building 1: Distance (m)","Building 2: Direction","Building 2: Distance (m)","Building 3: Direction","Building 3: Distance (m)","Building 4: Direction","Building 4: Distance (m)","Street Tree?","Maintenance Recommended","Maintenance Task","Sidewalk Conflict","Utility Conflict","Public?","Latitude","Longitude","Comments"
2,1,10/13/2016,Planted,9.81,343,"Florida royal palm (Roystonea regia)",Institutional,16.4,1.37,True,,,True,,,True,,,True,,,True,,,True,100%,3.52,3.52,2.50,2.0,1.8,"25% - 30%",100%,0%,"4 Sides",350,8.90,65,17.00,,,,,False,None,None,,"No lines",Checked,18.28365,-69.53518,"Foto 0644"
2,2,10/13/2016,Planted,8.00,131,"Areca palm (Dypsis lutescens)",Institutional,9.0,1.37,True,5.4,1.37,True,7.5,1.37,True,6.4,1.37,True,9.8,1.37,True,,,True,100%,4.90,4.90,1.50,1.2,1.3,"25% - 30%",100%,0%,"5 Sides",145,7.11,,,,,,,False,None,None,,"No lines",Checked,18.28363,-69.3518,"Foto 0643"
2,3,10/13/2016,Planted,9.60,115,"Areca palm (Dypsis lutescens)",Institutional,6.1,1.37,True,6.4,1.37,True,5.6,1.37,True,5.6,1.37,True,6.1,1.37,True,5.9,1.37,True,100%,4.70,4.70,1.70,0.9,1.1,"25% - 30%",100%,0%,"5 Sides",67,15.10,,,,,,,False,None,None,,"No lines",Checked,18.28363,-69.53516,"Foto 0643"
4,1,10/13/2016,Planted,9.32,122,"Areca palm (Dypsis lutescens)",Residential,6.2,1.37,True,5.8,1.37,True,6.2,1.37,True,6.1,1.37,True,6.4,1.37,True,5.9,1.37,True,100%,3.50,3.50,1.52,5.3,3.2,"15% - 20%","30% - 35%","80% - 85%","4 Sides",154,2.80,252,4.10,321,11.30,,,False,None,None,,"No lines",Checked,18.46971,-69.89683,"Foto 0686"
7,1,10/13/2016,Planted,11.35,5,"Mango (Mangifera indica)",Other,59.3,1.37,True,,,True,,,True,,,True,,,True,,,True,"90% - 95%",15.90,15.90,1.90,14.3,10.6,"10% - 15%",0%,0%,"5 Sides",,,,,,,,,False,None,None,,"No lines",Checked,18.46781,-69.9058,"Foto 0638"
7,2,10/13/2016,Planted,11.29,18,"Puerto rico royal palm (Roystonea borinquena)",Other,32.5,1.37,True,,,True,,,True,,,True,,,True,,,True,"90% - 95%",20.80,20.80,18.20,6.7,6.9,"15% - 20%",0%,0%,"5 Sides",,,,,,,,,False,None,None,,"No lines",Checked,18.46771,-69.90577,"Foto 0638"
7,3,10/13/2016,Planted,8.13,37,"Cecropia (Cecropia palmata)",Other,37.1,1.37,True,,,True,,,True,,,True,,,True,,,True,"90% - 95%",18.50,18.50,2.80,6.1,12.3,"20% - 25%",0%,0%,"4 Sides",,,,,,,,,False,None,None,,"No lines",Checked,18.46776,-69.90577,"Foto 0638"
7,4,10/13/2016,Planted,3.33,50,"African tulip tree (Spathodea campanulata)",Other,11.0,1.37,True,,,True,,,True,,,True,,,True,,,True,"75% - 80%",17.30,16.70,4.10,10.0,9.2,"20% - 25%",0%,0%,"3 Sides",,,,,,,,,False,None,None,,"No lines",Checked,18.46761,-69.90578,"Foto 0639"
7,5,10/13/2016,Planted,1.30,254,"Spanish lime (Melicoccus bijugatus)",Other,63.8,1.37,True,,,True,,,True,,,True,,,True,,,True,"90% - 95%",15.80,15.80,2.10,13.2,12.5,"5% - 10%",0%,0%,"3 Sides",,,,,,,,,False,None,None,,"No lines",Checked,18.46757,-69.90383,"Foto 0369"
7,6,10/13/2016,Planted,11.30,255,"Royal poinciana (Delonix regia)",Other,80.2,1.37,True,,,True,,,True,,,True,,,True,,,True,"90% - 95%",15.70,14.20,12.50,10.1,9.5,"30% - 35%",0%,0%,"4 Sides",,,,,,,,,False,None,None,,"No lines",Checked,18.46752,-69.9059,"Foto 0369"
