Plot ID,Tree ID,Species Name,DBH (in),Height (ft),Crown Height (ft),Crown Width (ft),Canopy Cover (ft^2),Tree Condition,Leaf Area (ft^2),Leaf Biomass (lb),Leaf Area Index,Basal Area (ft^2),Street Tree,Native to State,"Private Tree
"
2,1,Florida royal palm,6.5,11.5,3.3,6.2,30.5,EXCELLENT,22.9,0.8,0.8,0.227,NO,NO,No
2,2,Areca palm,6.9,16.1,11.2,4.1,13.2,EXCELLENT,29.1,1.0,2.2,0.257,NO,NO,No
2,3,Areca palm,5.7,15.4,9.8,3.3,8.5,EXCELLENT,16.1,0.6,1.9,0.180,NO,NO,No
4,1,Areca palm,5.9,11.5,6.5,13.9,152.7,EXCELLENT,114.8,3.9,0.8,0.189,NO,NO,No
7,1,Mango,23.3,52.2,45.9,40.8,"1,310.4",GOOD,"8,650.2",173.0,6.6,2.974,NO,NO,No
7,2,Puerto rico royal palm,12.8,68.2,8.5,22.3,390.9,GOOD,489.8,16.8,1.3,0.893,NO,NO,No
7,3,Cecropia,14.6,60.7,51.5,30.2,715.5,GOOD,"6,704.5",95.5,9.4,1.164,NO,NO,No
7,4,African tulip tree,4.3,56.8,41.3,31.5,779.1,FAIR,"2,979.9",37.2,3.8,0.102,NO,NO,No
7,5,Spanish lime,25.1,51.8,44.9,42.2,"1,395.9",GOOD,"8,316.0",137.6,6.0,3.442,NO,NO,No
7,6,Royal poinciana,31.6,51.5,5.6,32.2,811.9,GOOD,"1,561.0",27.6,1.9,5.439,NO,NO,No
8,1,Pink Poui,6.3,19.0,7.5,9.2,66.3,GOOD,93.5,1.2,1.4,0.216,YES,NO,Yes
8,2,Manila,5.1,18.0,10.5,9.7,73.6,GOOD,86.6,3.0,1.2,0.143,NO,NO,No
8,3,Manila,4.7,19.4,13.5,10.8,92.1,GOOD,122.5,4.2,1.3,0.122,NO,NO,No
8,4,Manila,5.7,18.4,7.5,9.0,63.9,GOOD,65.9,2.3,1.0,0.178,NO,NO,No
8,5,Manila,5.4,20.3,11.5,8.7,59.4,GOOD,80.8,2.8,1.4,0.159,NO,NO,No
8,6,Manila,3.8,17.4,12.5,5.7,25.9,GOOD,47.0,1.6,1.8,0.078,NO,NO,No
9,1,Indian albizia,5.9,26.2,8.9,29.9,700.1,GOOD,"1,433.3",12.8,2.0,0.190,NO,NO,No
10,1,Manilkara spp,6.5,26.9,6.6,11.6,106.5,GOOD,179.0,2.5,1.7,0.230,NO,NO,No
10,2,Cabbage palmetto,20.2,32.2,4.3,18.7,274.7,EXCELLENT,363.1,12.5,1.3,2.226,NO,NO,No
10,3,Sea grape,12.4,29.9,12.1,12.1,115.7,EXCELLENT,253.8,8.4,2.2,0.834,NO,NO,No
11,1,Manila,5.1,12.1,8.2,6.4,32.1,GOOD,47.4,1.6,1.5,0.143,YES,NO,Yes
11,2,Haitian catalpa,23.2,43.0,14.4,23.1,420.2,FAIR,"1,890.5",23.6,4.5,2.944,NO,NO,Yes
11,3,Manila,4.8,12.8,8.5,7.5,44.7,GOOD,58.2,2.0,1.3,0.128,YES,NO,Yes
