Plot ID,Tree ID,Species Name,CO Removed (oz/yr),O3 Removed (oz/yr),NO2 Removed (oz/yr),SO2 Removed (oz/yr),PM10* Removed (oz/yr),PM2.5 Removed (oz/yr),CO Removed ($/yr),O3 Removed ($/yr),NO2 Removed ($/yr),SO2 Removed ($/yr),PM10* Removed ($/yr),PM2.5 Removed ($/yr)
2,1,Florida royal palm,0.0,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.01,0.00
2,2,Areca palm,0.0,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.00
2,3,Areca palm,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.01,0.00
4,1,Areca palm,0.2,0.3,0.0,0.1,0.3,0.0,0.01,0.01,0.00,0.00,0.07,0.00
7,1,Mango,11.9,26.3,0.0,4.0,24.0,0.4,0.54,0.45,0.00,0.00,5.15,0.22
7,2,Puerto rico royal palm,0.7,1.5,0.0,0.2,1.4,0.0,0.03,0.03,0.00,0.00,0.29,0.01
7,3,Cecropia,9.2,20.3,0.0,3.1,18.6,0.3,0.42,0.35,0.00,0.00,3.99,0.17
7,4,African tulip tree,4.1,9.0,0.0,1.4,8.3,0.1,0.19,0.15,0.00,0.00,1.77,0.07
7,5,Spanish lime,11.4,25.2,0.0,3.8,23.1,0.3,0.52,0.43,0.00,0.00,4.95,0.21
7,6,Royal poinciana,2.1,4.7,0.0,0.7,4.3,0.1,0.10,0.08,0.00,0.00,0.93,0.04
8,1,Pink Poui,0.1,0.3,0.0,0.0,0.3,0.0,0.01,0.00,0.00,0.00,0.06,0.00
8,2,Manila,0.1,0.3,0.0,0.0,0.2,0.0,0.01,0.00,0.00,0.00,0.05,0.00
8,3,Manila,0.2,0.4,0.0,0.1,0.3,0.0,0.01,0.01,0.00,0.00,0.07,0.00
8,4,Manila,0.1,0.2,0.0,0.0,0.2,0.0,0.00,0.00,0.00,0.00,0.04,0.00
8,5,Manila,0.1,0.2,0.0,0.0,0.2,0.0,0.01,0.00,0.00,0.00,0.05,0.00
8,6,Manila,0.1,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.03,0.00
9,1,Indian albizia,2.0,4.4,0.0,0.7,4.0,0.1,0.09,0.07,0.00,0.00,0.85,0.04
10,1,Manilkara spp,0.2,0.5,0.0,0.1,0.5,0.0,0.01,0.01,0.00,0.00,0.11,0.00
10,2,Cabbage palmetto,0.5,1.1,0.0,0.2,1.0,0.0,0.02,0.02,0.00,0.00,0.22,0.01
10,3,Sea grape,0.3,0.8,0.0,0.1,0.7,0.0,0.02,0.01,0.00,0.00,0.15,0.01
11,1,Manila,0.1,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.03,0.00
11,2,Haitian catalpa,2.6,5.7,0.0,0.9,5.2,0.1,0.12,0.10,0.00,0.00,1.12,0.05
11,3,Manila,0.1,0.2,0.0,0.0,0.2,0.0,0.00,0.00,0.00,0.00,0.03,0.00
11,4,Manila,0.0,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.00
11,5,Manila,0.1,0.2,0.0,0.0,0.2,0.0,0.00,0.00,0.00,0.00,0.03,0.00
11,6,Manila,0.0,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.00
11,7,Christplant,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
13,1,Pseudophoenix spp,0.0,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.00
13,2,Pseudophoenix spp,0.1,0.2,0.0,0.0,0.2,0.0,0.00,0.00,0.00,0.00,0.04,0.00
13,3,Pseudophoenix spp,0.1,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.03,0.00
13,4,Pseudophoenix spp,0.1,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.00
13,5,Pseudophoenix spp,0.0,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.00
13,6,Pseudophoenix spp,0.0,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.00
13,7,Pseudophoenix spp,0.1,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.00
14,1,Bauhinia,0.1,0.2,0.0,0.0,0.2,0.0,0.00,0.00,0.00,0.00,0.05,0.00
14,2,Bauhinia,0.2,0.4,0.0,0.1,0.3,0.0,0.01,0.01,0.00,0.00,0.07,0.00
18,1,West indian mahogany,1.8,3.9,0.0,0.6,3.6,0.1,0.08,0.07,0.00,0.00,0.77,0.03
19,1,Panama tree,28.2,62.4,0.0,9.4,57.1,0.9,1.29,1.06,0.00,0.01,12.24,0.51
19,2,Manila,0.2,0.5,0.0,0.1,0.5,0.0,0.01,0.01,0.00,0.00,0.10,0.00
19,3,Manila,0.2,0.4,0.0,0.1,0.4,0.0,0.01,0.01,0.00,0.00,0.08,0.00
20,1,Mango,6.4,14.2,0.0,2.1,13.0,0.2,0.29,0.24,0.00,0.00,2.79,0.12
20,2,Rain tree,9.0,19.9,0.0,3.0,18.2,0.3,0.41,0.34,0.00,0.00,3.91,0.16
20,3,Mango,3.5,7.7,0.0,1.2,7.0,0.1,0.16,0.13,0.00,0.00,1.51,0.06

