iTree,Genus,Species,Common
Abarema cochliocarpos (Abarema cochliocarpos),Abarema,cochliacarpos,Barbatimao
Acalypha wilkesiana (Copperleaf),Acalypha,wilkesiana,Copperleaf
Acer negundo (Boxelder),Acer,negundo,Boxelder
Acokanthera (Acokanthera spp),Acokanthera,spp,Acokanthera spp
Allamanda (Allamanda spp),Allamanda,spp,Allamanda spp
Allamanda blanchetii (Purple allamanda),Allamanda,blanchetii,Purple allamanda
Aloe (Aloe spp),Aloe,spp,Aloe
Annona muricata (Soursop),Annona,muricata,Soursop
Araucaria heterophylla (Norfolk island pine),Araucaria,heterophylla,Norfolk island pine
Azadirachta indica (Neem Tree),Azadirachta,indica,Neem Tree
Bidens (Beggarticks spp),Bidens,spp,Beggarticks spp
Bougainvillea (Bougainvillea spp),Bougainvillea,spp,Bougainvillea spp
Bougainvillea glabra (Paperflower),Bougainvillea,glabra,Paperflower
Carmona (Scorpionbush spp),Carmona,spp,Scorpionbush spp
Casuarina equisetifolia (Australian pine),Casuarina,equisetifolia,Australian pine
Cecropia palmata (Cecropia),Cecropia,palmata,Cecropia
Chrysalidocarpus (Butterfly Palm spp),Chrysalidocarpus,spp,Butterfly Palm spp
Coccoloba uvifera (Sea grape),Coccoloba,uvifera,Sea grape
Codiaeum (Codiaeum spp),Codiaeum,spp,Codiaeum spp
Codiaeum variegatum (Garden croton),Codiaeum,variegatum,Garden croton
Conocarpus erectus (Button mangrove),Conocarpus,erectus,Button mangrove
Cordyline fruticosa (Broadleaf palm-lily),Cordyline,fruticosa,Broadleaf palm-lily
Croton (Croton spp),Croton,spp,Croton spp
Cyathea arborea (Tree-fern),Cyathea,arborea,Tree-fern
Cycas revoluta (Sago palm),Cycas,revoluta,Sago palm
Dracaena (Dracaena spp),Dracaena,spp,Dracaena spp
Dracaena fragrans (Fragrant dracaena),Dracaena,fragrans,Fragrant dracaena
Dracaena reflexa (Song of India),Dracaena,reflexa,Song of India
Duranta erecta (Golden dewdrops),Duranta,erecta,Golden dewdrops
Dypsis lutescens (Areca palm),Dypsis,lutescens,Areca palm
Ehretia retusa (Scorpionbush),Ehretia,retusa,Scorpionbush
Eugenia monticola (Birdcherry),Eugenia,monticola,Birdcherry
Euphorbia (Spurge spp),Euphorbia,spp,Spurge spp
Euphorbia lactea (Mottled spurge),Euphorbia,lactea,Mottled spurge
Euphorbia milii (Christplant),Euphorbia,milii,Christplant
Euphorbia pulcherrima (Poinsettia),Euphorbia,pulcherrima,Poinsettia
Ficus (Fig spp),Ficus,spp,Fig spp
Ficus elastica (Rubber plant),Ficus,elastica,Rubber plant
Ficus punctata (Ficus punctata),Ficus,punctata,Cheng huang rong
Gardenia jasminoides (Bower of beauty),Gardenia,jasminoides,Bower of beauty
Hibiscus arnottianus (White rosemallow),Hibiscus,arnottianus,White rosemallow
Hibiscus moscheutos (Rose mallow hibiscus),Hibiscus,moscheutos,Rose mallow hibiscus
Hibiscus rosa-sinensis (Chinese hibiscus),Hibiscus,rosa-sinensis,Chinese hibiscus
Ixora coccinea (Scarlet jungleflame),Ixora,coccinea,Scarlet jungleflame
Jatropha (Nettlespurge spp),Jatropha,spp,Nettlespurge spp
Leucophyllum frutescens (Texas barometer bush),Leucophyllum,frutescens,Texas barometer bush
Lippia (Lippia spp),Lippia,spp,Lippia spp
Malpighia glabra (Wild crapemyrtle),Malpighia,glabra,Wild crapemyrtle
Moringa oleifera (Horseradishtree),Moringa,oleifera,Horseradishtree
Murraya paniculata (China box),Murraya,paniculata,China box
Plumeria (Plumeria spp),Plumeria,spp,Plumeria spp
Plumeria rubra (Frangipani),Plumeria,rubra,Frangipani
Pseuderanthemum (Pseuderanthemum spp),Pseuderanthemum,spp,Pseuderanthemum spp
Psidium guajava (Common guava),Psidium,guajava,Common guava
Rosa chinensis (Chinese rose),Rosa,chinensis,Chinese rose
Salvia rosmarinus (Rosemary),Salvia,rosmarinus,Rosemary
Schefflera (Schefflera spp),Schefflera,spp,Schefflera spp
Solandra (Solandra spp),Solandra,spp,Solandra spp
Spathodea campanulata (African tulip tree),Spathodea,campanulata,African tulip tree
Tabebuia rosea (Pink Poui),Tabebuia,rosea,Pink Poui
Tabernaemontana laeta (Guasuiririba),Tabernaemontana,laeta,Guasuiririba
