iTree,Genus,Species,Common
Acacia amarilla (Albizia lebbeck),Albizia,lebbeck,Acacia amarilla 
African tulip tree (Spathodea campanulata),Spathodea,campanulata,African tulip tree 
Areca palm (Dypsis lutescens),Dypsis,lutescens,Areca palm 
Avocado (Persea americana),Persea,americana,Avocado 
Bauhinia (Bauhinia forficata),Bauhinia,forficata,Bauhinia 
Benjamin fig (Ficus benjamina),Ficus,benjamina,Benjamin fig 
Birdcherry (Eugenia monticola),Eugenia,monticola,Birdcherry 
Black olive (Bucida buceras),Bucida,buceras,Black olive 
Breadfruit (Artocarpus altilis),Artocarpus,altilis,Breadfruit 
Butterfly Palm spp (Chrysalidocarpus),Chrysalidocarpus,spp,Butterfly Palm spp 
Cabbage palmetto (Sabal palmetto),Sabal,palmetto,Cabbage palmetto 
Calabash tree (Crescentia cujete),Crescentia,cujete,Calabash tree 
Caribbean trumpet-tree (Tabebuia aurea),Tabebuia,aurea,Caribbean trumpet-tree 
Cecropia (Cecropia palmata),Cecropia,palmata,Cecropia 
Christplant (Euphorbia milii),Euphorbia,milii,Christplant 
Coconut palm (Cocos nucifera),Cocos,nucifera,Coconut palm 
Common fig (Ficus carica),Ficus,carica,Common fig 
Fig spp (Ficus),Ficus,spp,Fig spp 
Florida royal palm (Roystonea regia),Roystonea,regia,Florida royal palm 
Foxtail palm (Wodyetia bifurcata),Wodyetia,bifurcata,Foxtail palm 
French plantain (Musa x paradisiaca),Musa,x paradisiaca,French plantain 
Guasuiririba (Tabernaemontana laeta),Tabernaemontana,laeta,Guasuiririba 
Haitian catalpa (Catalpa longissima),Catalpa,longissima,Haitian catalpa 
Indian albizia (Albizia lebbekoides),Albizia,lebbekoides,Indian albizia 
Lemon (Citrus limon),Citrus,limon,Lemon 
Mango (Mangifera indica),Mangifera,indica,Mango 
Manila (Adonidia merrillii),Adonidia,merrillii,Manila 
Manilkara spp (Manilkara),Manilkara,spp,Manilkara spp 
Maria (Calophyllum antillanum),Calophyllum,antillanum,Maria 
Neem Tree (Azadirachta indica),Azadirachta,indica,Neem Tree 
Oleander (Nerium oleander),Nerium,oleander,Oleander 
Panama tree (Sterculia apetala),Sterculia,apetala,Panama tree 
Peepul tree (Ficus religiosa),Ficus,religiosa,Peepul tree 
Pink Poui (Tabebuia rosea),Tabebuia,rosea,Pink Poui 
Pseudophoenix spp (Pseudophoenix),Pseudophoenix,spp,Pseudophoenix spp 
Puerto rico royal palm (Roystonea borinquena),Roystonea,borinquena,Puerto rico royal palm 
Rain tree (Albizia saman),Albizia,saman,Rain tree 
Roble amarillo (Tabebuia chrysantha),Tabebuia,chrysantha,Roble amarillo 
Royal poinciana (Delonix regia),Delonix,regia,Royal poinciana 
Sago palm (Cycas revoluta),Cycas,revoluta,Sago palm 
Schefflera (Schefflera actinophylla),Schefflera,actinophylla,Schefflera 
Sea grape (Coccoloba uvifera),Coccoloba,uvifera,Sea grape 
Shaddock (Citrus grandis),Citrus,grandis,Shaddock 
Singapore graveyard flower (Plumeria obtusa),Plumeria,obtusa,Singapore graveyard flower 
Soursop (Annona muricata),Annona,muricata,Soursop 
Spanish lime (Melicoccus bijugatus),Melicoccus,bijugatus,Spanish lime 
Tahitian gooseberry tree (Phyllanthus acidus),Phyllanthus,acidus,Tahitian gooseberry tree 
Tropical almond (Terminalia kaernbachii),Terminalia,kaernbachii,Tropical almond 
West indian mahogany (Swietenia mahogani),Swietenia,mahogani,West indian mahogany 
White dwarf tabebuia (Tabebuia bahamensis),Tabebuia,bahamensis,White dwarf tabebuia 
White lead tree (Leucaena leucocephala),Leucaena,leucocephala,White lead tree 
Wild crapemyrtle (Malpighia glabra),Malpighia,glabra,Wild crapemyrtle 
