"Plot","Land Use","% of Plot"
19,Transportation,25
19,Residential,75
20,Transportation,25
20,Commercial/Industrial,75
21,Residential,100
22,Commercial/Industrial,100
23,Transportation,40
23,Residential,60
24,Residential,100
25,Transportation,40
25,Commercial/Industrial,60
26,Transportation,5
26,Commercial/Industrial,95
27,Residential,100
28,Park,100
29,Transportation,40
29,Commercial/Industrial,60
30,Transportation,10
30,Residential,90
31,Cemetery,100
32,Transportation,35
32,Residential,65
33,Park,55
33,Residential,45
34,Commercial/Industrial,100
35,Transportation,20
35,Commercial/Industrial,80
36,Transportation,75
36,Residential,25
