"Plot","Object Type","Direction","Distance (m)","DBH (cm)","Notes"
19,Other,20,24.0,,"Columna elevado 27 de febrero (114605)"
19,Other,283,25.0,,"Columna elevado 27 de febrero (114619)"
20,"Light post",137,17.0,,(113854)
20,"Fire hydrant",161,10.0,,(113849)
21,"Light post",326,34.0,,(132516)
21,"Light post",356,29.0,,"Entrada callejón (132433)"
22,"Light post",195,10.0,,(0425)
22,"Building corner",330,4.0,,(0420)
23,"Light post",175,13.0,,(123520)
23,"Building corner",180,14.0,,(123439)
24,"Building corner",180,2.0,,(0412)
24,"Light post",310,20.0,,(0413)
25,"Light post",198,18.0,,(130238)
25,"Light post",329,11.0,,(130226)
26,"Light post",168,34.0,,(0454)
26,"Building corner",210,20.0,,(0432)
27,"Light post",165,32.0,,"Foto 120852"
27,"Light post",235,38.0,,"Foto 120852"
28,"Building corner",185,28.0,,"Esquina suroeste Polideportivo. Foto (110458)"
28,"Building corner",310,22.0,,"Esquina noroeste Polideportivo. Foto (110511)"
29,"Building wall",90,17.0,,"Vivienda # 28. Foto 0478"
29,"Light post",175,13.0,,"Foto 0479"
30,"Light post",30,18.0,,"Foto 0475"
30,"Light post",95,17.0,,"Foto 0474"
31,"Building wall",321,21.0,,"Iglesia Bautista misionera haitiana (Foto 103653)"
31,Other,344,22.0,,"Registro telefonico ( Foto 103632)"
32,"Building corner",90,4.0,,"Foto 125659 (Borde casa #69)"
32,"Building corner",90,6.0,,"Foto 125641(Borde edificio calle Fausto Rodriguez)"
33,"Building corner",15,13.0,,"Foto 112557"
33,"Light post",228,19.0,,"Foto 112622"
34,"Building wall",333,19.0,,"Lavanderia America #148. Foto (102757)"
34,"Light post",352,34.0,,"Foto 102540"
35,"Building corner",215,9.0,,"Foto 0418"
35,"Street sign",248,20.0,,"Foto 0419"
36,"Light post",20,13.0,,"Foto 0428"
36,"Light post",65,10.0,,"Foto 0430"
