"Plot","Land Use","% of Plot"
1,Institutional,80
1,Transportation,20
2,Transportation,50
2,Commercial/Industrial,50
3,Vacant,15
3,Other,20
3,Residential,65
4,Vacant,40
4,Commercial/Industrial,60
5,Institutional,100
6,Commercial/Industrial,100
7,Transportation,10
7,Commercial/Industrial,90
8,Transportation,40
8,Commercial/Industrial,60
9,Institutional,88
9,Residential,12
10,"Multi-family residential",30
10,Institutional,7
10,Transportation,40
10,Commercial/Industrial,23
11,Residential,80
11,Transportation,20
12,Residential,100
13,Institutional,90
13,Transportation,10
14,Park,80
14,Transportation,20
15,Commercial/Industrial,100
16,Residential,100
17,Vacant,50
17,Commercial/Industrial,50
18,Institutional,80
18,Transportation,20
19,Residential,50
19,Transportation,8
19,Commercial/Industrial,42
20,Vacant,25
20,Residential,75
21,Residential,55
21,Transportation,45
22,Vacant,39
22,Residential,1
22,Commercial/Industrial,60
23,Transportation,45
23,Commercial/Industrial,55
24,Institutional,80
24,Commercial/Industrial,20
25,Residential,70
25,Transportation,30
26,Park,70
26,Transportation,30
27,Residential,50
27,Transportation,20
27,Commercial/Industrial,30
30,Transportation,50
30,Commercial/Industrial,50
109,"Multi-family residential",100
136,Residential,10
136,Transportation,35
136,Commercial/Industrial,55
