"Plot","Object Type","Direction","Distance (m)","DBH (cm)","Notes"
1,Other,160,13.6,,"banco de reservas"
1,"Light post",280,17.0,,"poste de luz"
2,"Light post",290,12.3,,"Foto 68"
2,"Light post",340,15.3,,"Foto 67"
3,"Roof peak",60,9.8,,"Poste de luz"
3,Other,280,5.6,,"Poste de lampara"
4,Other,30,6.9,,"Columna edificio colindante"
4,Other,252,3.0,,"Columna edificiacion de terraza"
5,"Light post",130,16.8,,"Poste de luz"
5,Other,260,34.7,,"Edificio con Mercedes #1"
6,"Building wall",90,13.8,,
6,"Building wall",180,19.7,,
7,Other,98,9.6,,"Farol blanco"
7,Other,188,5.7,,"Farol de pared negro"
8,"Building corner",72,0.4,,"Esquina pared de edificio"
8,Other,170,0.7,,"Control de medidores electricos"
9,Other,80,7.7,,"fuente (patrimonio)"
9,Other,165,1.5,,sumidero
10,"Light post",192,8.5,,"poste luz"
10,Other,232,3.5,,"farol de pared color negro"
11,Other,111,0.9,,"Medidor de agua"
11,Other,175,1.3,,"Borde de acera de enfrente"
12,Other,45,1.3,,"Alcantarilla de agua, cisterna"
12,Other,240,2.7,,"Columan de la casa"
13,Other,93,7.1,,"Farol negro de pared"
13,Other,106,1.7,,"primer escalon de la oficina de la obra y Museos de la catedral de Sto domingo"
14,"Light post",205,6.6,,"Poste de lampara"
14,"Light post",328,7.6,,"Poste de lampara"
15,Other,250,13.4,,"General de egaros"
15,"Building wall",350,25.2,,"Edificio #403"
16,Other,260,9.6,,"Hacia la casa no. 12"
16,Other,280,9.2,,"Hacia la casa no. 14"
17,"Building corner",40,15.2,,"esquina edificio que da a calle conde"
17,"Building corner",114,9.3,,"esquina edificio lado opuesto"
18,Other,70,9.8,,"Lampara de luz en pared, foto 148-149"
18,"Light post",130,5.4,,"Poste de luz, foto 147"
19,Other,220,3.0,,"Control de telecomunicaciones, placa en el suelo"
19,Other,284,2.2,,"Barrera metalica Poste"
20,Other,180,18.7,,"Frente de la casa"
20,"Light post",200,24.0,,"poste de luz"
21,"Light post",90,9.5,,"poste de luz"
21,Other,270,0.8,,"contador de agua, primero de derecha a izquierda"
22,Other,130,16.0,,"Casa #177 calle vicente Celestino Duarte"
22,"Building wall",180,11.3,,"Edificio comercial #176 esquina Av. Duarte"
23,Other,90,3.1,,"Columna de puerta de acceso"
23,Other,290,5.2,,"Arbol de roble"
24,Other,1,12.4,,"Primera Columna que da hacia el Norte"
24,Other,120,3.0,,"Baranda en inicio de escaleras"
25,Other,45,2.5,,"hipotetico 1"
25,Other,180,6.0,,"hipotetico 2"
26,"Light post",90,12.4,,"Poste de luz, lado del malecon"
26,Other,230,3.5,,"Estatua JM Lora, Esquina Este"
27,"Light post",85,2.6,,"Poste de luz"
27,"Light post",250,11.8,,"Poste de luz"
30,"Light post",10,16.2,,
30,"Light post",70,9.6,,
109,"Light post",50,11.2,,"foto 84"
109,"Light post",210,12.0,,"foto 85"
136,Other,90,1.4,,"Borde de la acera de enfrente"
136,Other,180,1.1,,"Farol de pared negro frente a edificio"
