"Plot","ID","Species","Height (m)","% Shrub Area","% Missing","Comments"
1,14,"Ehretia retusa (Scorpionbush)",1.00,100,"1% - 5%",
4,15,"Ficus (Fig spp)",2.00,50,"55% - 60%",
4,16,"Spathodea campanulata (African tulip tree)",2.60,50,"5% - 10%",
5,17,"Tabernaemontana laeta (Guasuiririba)",1.67,100,"55% - 60%",
7,12,"Chrysalidocarpus (Butterfly Palm spp)",1.71,90,"15% - 20%",
7,13,"Bougainvillea glabra (Paperflower)",1.00,10,"75% - 80%",
9,52,"Bougainvillea glabra (Paperflower)",1.00,20,"65% - 70%",
9,53,"Cecropia palmata (Cecropia)",1.00,10,"35% - 40%",
9,54,"Chrysalidocarpus (Butterfly Palm spp)",1.00,70,"10% - 15%",
10,46,"Codiaeum variegatum (Garden croton)",1.00,19,"10% - 15%",
10,47,"Hibiscus rosa-sinensis (Chinese hibiscus)",1.00,26,"10% - 15%",
10,48,"Eugenia monticola (Birdcherry)",1.20,15,"75% - 80%",
10,49,"Cordyline fruticosa (Broadleaf palm-lily)",1.40,10,"55% - 60%",
10,50,"Chrysalidocarpus (Butterfly Palm spp)",1.00,25,"5% - 10%",
10,51,"Bougainvillea glabra (Paperflower)",1.00,5,"85% - 90%",
12,68,"Cycas revoluta (Sago palm)",1.00,3,0%,
12,69,"Plumeria rubra (Frangipani)",1.00,3,0%,
12,70,"Tabernaemontana laeta (Guasuiririba)",1.34,82,0%,
12,71,"Lippia (Lippia spp)",1.26,3,"35% - 40%",
12,72,"Solandra (Solandra spp)",1.20,6,"55% - 60%",
12,73,"Cordyline fruticosa (Broadleaf palm-lily)",1.50,3,"75% - 80%",
13,18,"Cycas revoluta (Sago palm)",1.00,13,"15% - 20%",
13,19,"Conocarpus erectus (Button mangrove)",1.00,22,"1% - 5%",
13,20,"Ehretia retusa (Scorpionbush)",1.00,13,"50% - 55%",
13,21,"Codiaeum variegatum (Garden croton)",1.00,13,"35% - 40%",
13,22,"Casuarina equisetifolia (Australian pine)",1.00,13,"45% - 50%",
13,23,"Chrysalidocarpus (Butterfly Palm spp)",1.00,13,"20% - 25%",
13,24,"Codiaeum (Codiaeum spp)",1.00,13,"15% - 20%",
16,59,"Dracaena fragrans (Fragrant dracaena)",1.50,35,"5% - 10%",
16,60,"Malpighia glabra (Wild crapemyrtle)",1.30,35,"30% - 35%",
16,61,"Lippia (Lippia spp)",1.00,30,"5% - 10%",
17,7,"Ficus (Fig spp)",1.70,50,"45% - 50%",
17,8,"Tabebuia rosea (Pink Poui)",2.00,50,"50% - 55%",
19,62,"Murraya paniculata (China box)",1.00,20,"40% - 45%",
19,63,"Hibiscus rosa-sinensis (Chinese hibiscus)",1.00,30,"45% - 50%",
19,64,"Moringa oleifera (Horseradishtree)",1.00,5,"85% - 90%",
19,65,"Ficus elastica (Rubber plant)",1.00,20,"15% - 20%",
19,66,"Leucophyllum frutescens (Texas barometer bush)",1.00,15,"5% - 10%",
19,67,"Jatropha (Nettlespurge spp)",1.00,10,"10% - 15%",
20,55,"Tabernaemontana laeta (Guasuiririba)",4.00,50,"35% - 40%",
20,56,"Euphorbia milii (Christplant)",1.00,10,"45% - 50%",
20,57,"Dracaena reflexa (Song of India)",5.60,20,"55% - 60%",
20,58,"Bougainvillea glabra (Paperflower)",1.00,20,"35% - 40%",
21,25,"Chrysalidocarpus (Butterfly Palm spp)",1.14,12,"30% - 35%",
21,26,"Euphorbia milii (Christplant)",1.00,12,"25% - 30%",
