Plot ID,Tree ID,Species Name,DBH (in),Replacement Value ($),Carbon Storage (lb),Carbon Storage ($),Gross Carbon Sequestration (lb/yr),Gross Carbon Sequestration ($/yr),Avoided Runoff (gal/yr),Avoided Runoff ($/yr),Carbon Avoided (lb/yr),Carbon Avoided ($/yr),Pollution Removal (oz/yr),Pollution Removal ($/yr),Energy Savings ($/yr),Total Annual Benefits ($/yr)
1,1,Maria,1.1,46.46,1.4,0.09,2.3,0.15,0.0,0.00,,,0.0,0.00,,0.16
1,2,Maria,1.0,45.06,1.2,0.08,2.0,0.14,0.0,0.00,,,0.0,0.00,,0.14
1,3,Maria,1.0,45.06,1.2,0.08,2.0,0.14,0.0,0.00,,,0.1,0.01,,0.14
4,1,Cecropia,1.4,18.58,4.3,0.28,7.7,0.51,0.0,0.00,,,0.1,0.02,,0.53
4,2,Fig spp,1.4,18.58,5.6,0.37,2.8,0.19,0.3,0.00,,,1.5,0.19,,0.38
5,1,Manila,15.7,816.88,220.7,14.68,6.1,0.40,0.1,0.00,15.1,1.00,0.4,0.05,7.69,9.15
5,2,Manila,17.3,765.99,269.9,17.96,3.3,0.22,0.1,0.00,29.6,1.97,0.7,0.09,15.00,17.28
5,3,Manila,17.9,"1,122.19",306.4,20.38,2.1,0.14,0.1,0.00,26.1,1.74,0.6,0.07,13.23,15.18
5,4,Butterfly Palm spp,5.9,749.94,45.1,3.00,4.7,0.31,0.0,0.00,,,0.1,0.02,,0.33
5,5,Manila,18.9,842.32,320.5,21.32,0.4,0.03,0.1,0.00,16.3,1.09,0.6,0.08,8.33,9.52
5,6,Butterfly Palm spp,1.2,69.68,9.6,0.64,2.3,0.15,0.0,0.00,,,0.0,0.00,,0.16
5,7,Butterfly Palm spp,1.1,69.68,8.9,0.59,2.3,0.15,0.0,0.00,,,0.0,0.00,,0.15
5,8,Butterfly Palm spp,1.3,69.68,9.6,0.64,2.3,0.15,0.0,0.00,,,0.0,0.01,,0.16
5,9,Butterfly Palm spp,7.9,"1,046.15",73.6,4.90,6.4,0.43,0.1,0.00,9.1,0.61,0.9,0.11,4.35,5.49
5,10,Spanish lime,36.2,"14,044.88","16,534.7","1,099.95",77.2,5.13,2.1,0.02,116.4,7.74,12.5,1.55,58.83,73.28
5,11,Mango,43.3,"18,248.10","10,907.4",725.60,129.8,8.64,1.0,0.01,120.6,8.02,5.9,0.73,60.57,77.97
9,1,Coconut palm,9.7,"1,238.47",59.6,3.96,7.4,0.49,0.4,0.00,-17.3,-1.15,2.3,0.29,-5.67,-6.04
9,2,French plantain,4.6,465.77,58.2,3.87,17.0,1.13,0.0,0.00,,,0.3,0.03,,1.16
9,3,French plantain,4.3,311.12,48.7,3.24,15.1,1.00,0.0,0.00,,,0.2,0.02,,1.03
9,4,French plantain,4.6,189.99,57.1,3.80,13.6,0.91,0.0,0.00,,,0.2,0.03,,0.94
9,5,French plantain,4.2,105.27,47.1,3.14,3.2,0.21,0.0,0.00,,,0.0,0.00,,0.22
9,6,French plantain,2.9,333.46,20.9,1.39,10.3,0.69,0.0,0.00,,,0.1,0.01,,0.70
9,7,French plantain,2.9,231.69,20.3,1.35,7.8,0.52,0.0,0.00,,,0.1,0.01,,0.53
