Plot ID,Tree ID,Species Name,Leaf Area (ft^2),Potential Evapotranspiration (gal/yr),Evaporation (gal/yr),Transpiration (gal/yr),Water Intercepted (gal/yr),Avoided Runoff (gal/yr),Avoided Runoff Value ($/yr)
1,1,Maria,8.2,22.9,0.6,10.2,0.6,0.0,0.00
1,2,Maria,7.2,19.9,0.5,8.9,0.5,0.0,0.00
1,3,Maria,11.1,30.8,0.8,13.8,0.8,0.0,0.00
4,1,Cecropia,26.4,73.4,1.9,32.8,1.9,0.0,0.00
4,2,Fig spp,330.1,917.4,23.2,409.7,24.3,0.3,0.00
5,1,Manila,92.2,256.2,6.5,114.4,6.8,0.1,0.00
5,2,Manila,159.4,443.0,11.2,197.8,11.7,0.1,0.00
5,3,Manila,128.2,356.2,9.0,159.1,9.4,0.1,0.00
5,4,Butterfly Palm spp,31.9,88.6,2.2,39.6,2.3,0.0,0.00
5,5,Manila,137.2,381.4,9.7,170.3,10.1,0.1,0.00
5,6,Butterfly Palm spp,7.6,21.2,0.5,9.5,0.6,0.0,0.00
5,7,Butterfly Palm spp,6.0,16.7,0.4,7.5,0.4,0.0,0.00
5,8,Butterfly Palm spp,9.6,26.7,0.7,11.9,0.7,0.0,0.00
5,9,Butterfly Palm spp,184.4,512.3,13.0,228.8,13.6,0.1,0.00
5,10,Spanish lime,"2,707.6","7,524.3",190.6,"3,360.3",199.2,2.1,0.02
5,11,Mango,"1,277.5","3,550.1",89.9,"1,585.4",94.0,1.0,0.01
9,1,Coconut palm,497.2,"1,381.8",35.0,617.1,36.6,0.4,0.00
9,2,French plantain,57.3,159.1,4.0,71.1,4.2,0.0,0.00
9,3,French plantain,41.8,116.1,2.9,51.9,3.1,0.0,0.00
9,4,French plantain,50.4,140.2,3.6,62.6,3.7,0.0,0.00
9,5,French plantain,8.4,23.4,0.6,10.5,0.6,0.0,0.00
9,6,French plantain,18.4,51.0,1.3,22.8,1.4,0.0,0.00
9,7,French plantain,17.1,47.6,1.2,21.2,1.3,0.0,0.00
9,8,French plantain,23.7,65.9,1.7,29.4,1.7,0.0,0.00
9,9,French plantain,8.9,24.7,0.6,11.0,0.7,0.0,0.00
9,10,Avocado,30.7,85.2,2.2,38.0,2.3,0.0,0.00
9,11,Soursop,160.7,446.5,11.3,199.4,11.8,0.1,0.00
9,12,Shaddock,49.9,138.7,3.5,61.9,3.7,0.0,0.00
11,1,Peepul tree,"15,001.0","41,687.5","1,056.0","18,617.2","1,103.7",11.9,0.11
11,2,Pink Poui,"4,652.4","12,928.8",327.5,"5,773.9",342.3,3.7,0.03
11,3,Mango,"8,399.7","23,342.6",591.3,"10,424.6",618.0,6.7,0.06
11,4,Wild crapemyrtle,297.5,826.8,20.9,369.2,21.9,0.2,0.00
11,5,Tahitian gooseberry tree,53.8,149.5,3.8,66.8,4.0,0.0,0.00
12,1,Breadfruit,"2,119.4","5,889.9",149.2,"2,630.4",155.9,1.7,0.01
12,2,White lead tree,111.3,309.4,7.8,138.2,8.2,0.1,0.00
12,3,Cecropia,7.0,19.4,0.5,8.7,0.5,0.0,0.00
12,4,Puerto rico royal palm,12.1,33.6,0.9,15.0,0.9,0.0,0.00
12,5,Oleander,42.6,118.3,3.0,52.8,3.1,0.0,0.00
12,6,Puerto rico royal palm,32.5,90.2,2.3,40.3,2.4,0.0,0.00
12,7,Mango,63.2,175.7,4.4,78.4,4.7,0.1,0.00
12,8,Oleander,22.0,61.2,1.5,27.3,1.6,0.0,0.00
13,1,Calabash tree,587.0,"1,631.2",41.3,728.5,43.2,0.5,0.00
13,2,Sago palm,45.4,126.3,3.2,56.4,3.3,0.0,0.00
13,3,Foxtail palm,137.2,381.3,9.7,170.3,10.1,0.1,0.00
13,4,Sago palm,56.2,156.3,4.0,69.8,4.1,0.0,0.00
13,5,Mango,"3,384.0","9,404.1",238.2,"4,199.8",249.0,2.7,0.02
14,1,Black olive,"1,937.1","5,383.3",136.4,"2,404.1",142.5,1.5,0.01
14,2,Black olive,"6,357.6","17,667.7",447.5,"7,890.2",467.8,5.0,0.04
15,1,Common fig,115.2,320.1,8.1,142.9,8.5,0.1,0.00
16,1,Pink Poui,7.5,20.8,0.5,9.3,0.6,0.0,0.00
17,1,Pink Poui,"1,432.7","3,981.4",100.9,"1,778.0",105.4,1.1,0.01
17,2,Cecropia,31.2,86.7,2.2,38.7,2.3,0.0,0.00
