Plot ID,Tree ID,Species Name,CO Removed (oz/yr),O3 Removed (oz/yr),NO2 Removed (oz/yr),SO2 Removed (oz/yr),PM10* Removed (oz/yr),PM2.5 Removed (oz/yr),CO Removed ($/yr),O3 Removed ($/yr),NO2 Removed ($/yr),SO2 Removed ($/yr),PM10* Removed ($/yr),PM2.5 Removed ($/yr)
1,1,Maria,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
1,2,Maria,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
1,3,Maria,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
4,1,Cecropia,0.0,0.0,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.01,0.00
4,2,Fig spp,0.3,0.0,0.0,0.4,0.8,0.0,0.01,0.00,0.00,0.00,0.14,0.04
5,1,Manila,0.1,0.0,0.0,0.1,0.2,0.0,0.00,0.00,0.00,0.00,0.04,0.01
5,2,Manila,0.1,0.0,0.0,0.2,0.4,0.0,0.00,0.00,0.00,0.00,0.07,0.02
5,3,Manila,0.1,0.0,0.0,0.2,0.3,0.0,0.00,0.00,0.00,0.00,0.05,0.01
5,4,Butterfly Palm spp,0.0,0.0,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.01,0.00
5,5,Manila,0.1,0.0,0.0,0.2,0.3,0.0,0.00,0.00,0.00,0.00,0.06,0.02
5,6,Butterfly Palm spp,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
5,7,Butterfly Palm spp,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
5,8,Butterfly Palm spp,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
5,9,Butterfly Palm spp,0.1,0.0,0.0,0.2,0.5,0.0,0.01,0.00,0.00,0.00,0.08,0.02
5,10,Spanish lime,2.1,0.0,0.0,3.4,6.9,0.1,0.07,0.00,0.00,0.02,1.15,0.31
5,11,Mango,1.0,0.0,0.0,1.6,3.2,0.0,0.04,0.00,0.00,0.01,0.54,0.15
9,1,Coconut palm,0.4,0.0,0.0,0.6,1.3,0.0,0.01,0.00,0.00,0.00,0.21,0.06
9,2,French plantain,0.0,0.0,0.0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.01
9,3,French plantain,0.0,0.0,0.0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.00
9,4,French plantain,0.0,0.0,0.0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.01
9,5,French plantain,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
9,6,French plantain,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.01,0.00
9,7,French plantain,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.01,0.00
9,8,French plantain,0.0,0.0,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.01,0.00
9,9,French plantain,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
9,10,Avocado,0.0,0.0,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.01,0.00
9,11,Soursop,0.1,0.0,0.0,0.2,0.4,0.0,0.00,0.00,0.00,0.00,0.07,0.02
9,12,Shaddock,0.0,0.0,0.0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.01
11,1,Peepul tree,11.7,0.0,0.0,19.0,38.1,0.4,0.41,0.00,0.00,0.12,6.36,1.72
11,2,Pink Poui,3.6,0.0,0.0,5.9,11.8,0.1,0.13,0.00,0.00,0.04,1.97,0.53
11,3,Mango,6.5,0.0,0.0,10.7,21.3,0.2,0.23,0.00,0.00,0.06,3.56,0.96
11,4,Wild crapemyrtle,0.2,0.0,0.0,0.4,0.8,0.0,0.01,0.00,0.00,0.00,0.13,0.03
11,5,Tahitian gooseberry tree,0.0,0.0,0.0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.01
12,1,Breadfruit,1.6,0.0,0.0,2.7,5.4,0.1,0.06,0.00,0.00,0.02,0.90,0.24
12,2,White lead tree,0.1,0.0,0.0,0.1,0.3,0.0,0.00,0.00,0.00,0.00,0.05,0.01
12,3,Cecropia,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
12,4,Puerto rico royal palm,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.01,0.00
12,5,Oleander,0.0,0.0,0.0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.00
12,6,Puerto rico royal palm,0.0,0.0,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.01,0.00
12,7,Mango,0.0,0.0,0.0,0.1,0.2,0.0,0.00,0.00,0.00,0.00,0.03,0.01
12,8,Oleander,0.0,0.0,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.01,0.00
13,1,Calabash tree,0.5,0.0,0.0,0.7,1.5,0.0,0.02,0.00,0.00,0.00,0.25,0.07
13,2,Sago palm,0.0,0.0,0.0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.01
13,3,Foxtail palm,0.1,0.0,0.0,0.2,0.3,0.0,0.00,0.00,0.00,0.00,0.06,0.02
13,4,Sago palm,0.0,0.0,0.0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.01
13,5,Mango,2.6,0.0,0.0,4.3,8.6,0.1,0.09,0.00,0.00,0.03,1.44,0.39
14,1,Black olive,1.5,0.0,0.0,2.5,4.9,0.1,0.05,0.00,0.00,0.01,0.82,0.22
14,2,Black olive,4.9,0.0,0.0,8.1,16.2,0.2,0.18,0.00,0.00,0.05,2.70,0.73
15,1,Common fig,0.1,0.0,0.0,0.1,0.3,0.0,0.00,0.00,0.00,0.00,0.05,0.01
16,1,Pink Poui,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
17,1,Pink Poui,1.1,0.0,0.0,1.8,3.6,0.0,0.04,0.00,0.00,0.01,0.61,0.16
17,2,Cecropia,0.0,0.0,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.01,0.00
17,3,Cecropia,0.0,0.0,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.01,0.00
20,1,Schefflera,0.3,0.0,0.0,0.6,1.1,0.0,0.01,0.00,0.00,0.00,0.19,0.05
21,1,Black olive,1.7,0.0,0.0,2.7,5.5,0.1,0.06,0.00,0.00,0.02,0.91,0.25
22,1,African tulip tree,0.0,0.0,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.01,0.00
24,2,Birdcherry,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
24,4,Birdcherry,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
24,6,Birdcherry,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
24,7,Caribbean trumpet-tree,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
25,1,Manila,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.01,0.00
25,2,Mango,1.2,0.0,0.0,2.0,4.0,0.0,0.04,0.00,0.00,0.01,0.67,0.18
25,3,Fig spp,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
26,1,Haitian catalpa,0.2,0.0,0.0,0.3,0.5,0.0,0.01,0.00,0.00,0.00,0.09,0.02
26,2,Fig spp,0.1,0.0,0.0,0.1,0.2,0.0,0.00,0.00,0.00,0.00,0.04,0.01
26,3,Black olive,0.2,0.0,0.0,0.3,0.6,0.0,0.01,0.00,0.00,0.00,0.09,0.03
26,4,Black olive,1.6,0.0,0.0,2.6,5.2,0.1,0.06,0.00,0.00,0.02,0.88,0.24
26,5,Haitian catalpa,0.1,0.0,0.0,0.1,0.2,0.0,0.00,0.00,0.00,0.00,0.03,0.01
109,1,Shaddock,0.1,0.0,0.0,0.1,0.3,0.0,0.00,0.00,0.00,0.00,0.04,0.01
109,2,Puerto rico royal palm,0.4,0.0,0.0,0.6,1.2,0.0,0.01,0.00,0.00,0.00,0.19,0.05
109,3,Black olive,0.9,0.0,0.0,1.4,2.8,0.0,0.03,0.00,0.00,0.01,0.46,0.13
109,4,Singapore graveyard flower,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
109,5,Manila,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.01,0.00
109,7,Manila,0.0,0.0,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.00
109,8,Manila,0.0,0.0,0.0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.01
109,9,Guasuiririba,0.0,0.0,0.0,0.1,0.2,0.0,0.00,0.00,0.00,0.00,0.03,0.01
109,10,Manila,0.0,0.0,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.01,0.00
109,11,White lead tree,2.3,0.0,0.0,3.8,7.6,0.1,0.08,0.00,0.00,0.02,1.26,0.34
109,12,Shaddock,0.0,0.0,0.0,0.1,0.2,0.0,0.00,0.00,0.00,0.00,0.03,0.01

