SectorName,SiteID,Date,source_ptct_df,source_site_df
Ciudad Nueva,CN05,2016-11-10T00:00:00Z,1,NA
Ciudad Nueva,CN12,2016-11-21T00:00:00Z,1,NA
Ciudad Nueva,CN14,2016-11-09T00:00:00Z,1,NA
Ciudad Nueva,CN25,2016-11-21T00:00:00Z,1,NA
Ciudad Nueva,CN27,2019-01-25T00:00:00Z,1,NA
Ciudad Nueva,CN30,2016-11-09T00:00:00Z,1,NA
Ciudad Nueva,CN30,2017-04-21T00:00:00Z,1,NA
Ciudad Nueva,CN33,2016-10-06T00:00:00Z,1,NA
Gazcue,GA01,2016-12-08T00:00:00Z,1,NA
Gazcue,GA06,2016-11-17T00:00:00Z,1,NA
Gazcue,GA121,2016-12-08T00:00:00Z,1,NA
Gazcue,GA173,2016-12-08T00:00:00Z,1,NA
Gazcue,GA999,2017-11-12T00:00:00Z,1,NA
Gazcue,GA999,2017-11-21T00:00:00Z,1,NA
Gazcue,GA999,2017-12-04T00:00:00Z,1,NA
Gazcue,GA999,2018-05-05T00:00:00Z,1,NA
San Carlos,SC07,2017-04-22T00:00:00Z,1,NA
San Carlos,SC31,2021-01-15T00:00:00Z,1,NA
Zona Colonial,ZC05,2016-11-14T00:00:00Z,1,NA
Zona Colonial,ZC15,2016-11-14T00:00:00Z,1,NA
Zona Colonial,ZC37,2016-10-04T00:00:00Z,1,NA
Zona Colonial,ZCA01,2016-11-10T00:00:00Z,1,NA
Zona Colonial,ZCA02,2017-11-24T00:00:00Z,1,NA
Zona Colonial,ZCA04,2016-11-20T00:00:00Z,1,NA
Zona Colonial,ZC08,2022-12-09T00:00:00Z,NA,1
Gazcue,GA03,2022-10-23T00:00:00Z,NA,1
Gazcue,GA04,2019-10-28T00:00:00Z,NA,1
Gazcue,GA10,2022-04-24T00:00:00Z,NA,1
Gazcue,GA209,2021-11-19T00:00:00Z,NA,1
San Carlos,SC01,2021-01-15T00:00:00Z,NA,1
